method,minhash_depth,cms_width,cms_depth,size_minhash,size_cms,time_minhash,time_cms,error_minhash,error_cms,jaccard_similarity
MinHash,50.0,,,200.0,,0.000011,,0.002399520095980767,,0.9976004799040192
MinHash,100.0,,,400.0,,0.000019,,0.002399520095980767,,0.9976004799040192
MinHash,200.0,,,800.0,,0.000032,,0.0026004799040192372,,0.9976004799040192
MinHash,300.0,,,1200.0,,0.000051,,0.0009338132373525321,,0.9976004799040192
MinHash,400.0,,,1600.0,,0.000071,,0.0001004799040191795,,0.9976004799040192
MinHash,500.0,,,2000.0,,0.000090,,0.00039952009598076543,,0.9976004799040192
MinHash,600.0,,,2400.0,,0.000109,,0.0007328534293140621,,0.9976004799040192
MinHash,700.0,,,2800.0,,0.000131,,0.0009709486674093215,,0.9976004799040192
MinHash,800.0,,,3200.0,,0.000148,,0.0011495200959807939,,0.9976004799040192
MinHash,900.0,,,3600.0,,0.000169,,0.00017729787375853068,,0.9976004799040192
MinHash,1000.0,,,4000.0,,0.000185,,0.0016004799040192363,,0.9976004799040192
MinHash,1100.0,,,4400.0,,0.000222,,0.0012368435403828926,,0.9976004799040192
MinHash,1200.0,,,4800.0,,0.000230,,0.0009338132373525321,,0.9976004799040192
MinHash,1300.0,,,5200.0,,0.000244,,0.000677402980942321,,0.9976004799040192
MinHash,1400.0,,,5600.0,,0.000264,,0.0004576227611621242,,0.9976004799040192
MinHash,1500.0,,,6000.0,,0.000284,,0.00026714657068593883,,0.9976004799040192
MinHash,1600.0,,,6400.0,,0.000306,,0.0001004799040191795,,0.9976004799040192
MinHash,1700.0,,,6800.0,,0.000324,,4.657891951020954e-05,,0.9976004799040192
MinHash,1800.0,,,7200.0,,0.000340,,0.0003782576817970007,,0.9976004799040192
MinHash,1900.0,,,7600.0,,0.000364,,0.0007583746408613701,,0.9976004799040192
MinHash,2000.0,,,8000.0,,0.000380,,0.0006004799040192355,,0.9976004799040192
CountMinSketch,,25.0,2.0,,84.0,,0.000011,,0.0005993400779790159,0.9976004799040192
CountMinSketch,,50.0,2.0,,104.0,,0.000018,,0.0005993400779790159,0.9976004799040192
CountMinSketch,,100.0,2.0,,130.0,,0.000036,,0.0,0.9976004799040192
CountMinSketch,,150.0,2.0,,154.0,,0.000055,,0.0,0.9976004799040192
CountMinSketch,,200.0,2.0,,180.0,,0.000077,,0.0,0.9976004799040192
CountMinSketch,,250.0,2.0,,204.0,,0.000098,,0.0,0.9976004799040192
CountMinSketch,,300.0,2.0,,230.0,,0.000119,,0.0,0.9976004799040192
CountMinSketch,,350.0,2.0,,254.0,,0.000141,,0.0,0.9976004799040192
CountMinSketch,,400.0,2.0,,280.0,,0.000161,,0.0,0.9976004799040192
CountMinSketch,,450.0,2.0,,304.0,,0.000183,,0.0,0.9976004799040192
CountMinSketch,,500.0,2.0,,330.0,,0.000203,,0.0,0.9976004799040192
CountMinSketch,,550.0,2.0,,354.0,,0.000224,,0.0005993400779790159,0.9976004799040192
CountMinSketch,,600.0,2.0,,380.0,,0.000248,,0.0,0.9976004799040192
CountMinSketch,,650.0,2.0,,404.0,,0.000268,,0.0,0.9976004799040192
CountMinSketch,,700.0,2.0,,430.0,,0.000291,,0.0,0.9976004799040192
CountMinSketch,,750.0,2.0,,454.0,,0.000313,,0.0,0.9976004799040192
CountMinSketch,,800.0,2.0,,480.0,,0.000332,,0.0,0.9976004799040192
CountMinSketch,,850.0,2.0,,504.0,,0.000356,,0.0,0.9976004799040192
CountMinSketch,,900.0,2.0,,530.0,,0.000374,,0.0,0.9976004799040192
CountMinSketch,,950.0,2.0,,554.0,,0.000400,,0.0,0.9976004799040192
CountMinSketch,,1000.0,2.0,,580.0,,0.000417,,0.0,0.9976004799040192
