method,minhash_depth,cms_width,cms_depth,size_minhash,size_cms,time_minhash,time_cms,error_minhash,error_cms,jaccard_similarity
MinHash,50.0,,,200.0,,0.000010,,0.0602211690363349,,0.5797788309636651
MinHash,100.0,,,400.0,,0.000020,,0.0602211690363349,,0.5797788309636651
MinHash,200.0,,,800.0,,0.000036,,0.0052211690363348495,,0.5797788309636651
MinHash,300.0,,,1200.0,,0.000055,,0.003112164296998454,,0.5797788309636651
MinHash,400.0,,,1600.0,,0.000071,,0.00022116903633484508,,0.5797788309636651
MinHash,500.0,,,2000.0,,0.000092,,0.014221169036334858,,0.5797788309636651
MinHash,600.0,,,2400.0,,0.000109,,0.010221169036334854,,0.5797788309636651
MinHash,700.0,,,2800.0,,0.000131,,0.005935454750620628,,0.5797788309636651
MinHash,800.0,,,3200.0,,0.000149,,0.021471169036334836,,0.5797788309636651
MinHash,900.0,,,3600.0,,0.000179,,0.013554502369668264,,0.5797788309636651
MinHash,1000.0,,,4000.0,,0.000189,,0.007221169036334851,,0.5797788309636651
MinHash,1100.0,,,4400.0,,0.000205,,0.008402987218153024,,0.5797788309636651
MinHash,1200.0,,,4800.0,,0.000226,,0.006054502369668202,,0.5797788309636651
MinHash,1300.0,,,5200.0,,0.000245,,0.0017596305747964447,,0.5797788309636651
MinHash,1400.0,,,5600.0,,0.000262,,0.009506883322049187,,0.5797788309636651
MinHash,1500.0,,,6000.0,,0.000279,,0.014221169036334858,,0.5797788309636651
MinHash,1600.0,,,6400.0,,0.000303,,0.011471169036334938,,0.5797788309636651
MinHash,1700.0,,,6800.0,,0.000324,,0.010809404330452521,,0.5797788309636651
MinHash,1800.0,,,7200.0,,0.000341,,0.012998946814112622,,0.5797788309636651
MinHash,1900.0,,,7600.0,,0.000357,,0.014958011141598004,,0.5797788309636651
MinHash,2000.0,,,8000.0,,0.000376,,0.010221169036334854,,0.5797788309636651
CountMinSketch,,25.0,2.0,,155.0,,0.000011,,0.0,0.5797788309636651
CountMinSketch,,50.0,2.0,,175.0,,0.000019,,0.0,0.5797788309636651
CountMinSketch,,100.0,2.0,,216.0,,0.000036,,0.0,0.5797788309636651
CountMinSketch,,150.0,2.0,,257.0,,0.000056,,0.0,0.5797788309636651
CountMinSketch,,200.0,2.0,,274.0,,0.000077,,0.0,0.5797788309636651
CountMinSketch,,250.0,2.0,,307.0,,0.000097,,0.0,0.5797788309636651
CountMinSketch,,300.0,2.0,,332.0,,0.000119,,0.0,0.5797788309636651
CountMinSketch,,350.0,2.0,,357.0,,0.000140,,0.0,0.5797788309636651
CountMinSketch,,400.0,2.0,,382.0,,0.000161,,0.0,0.5797788309636651
CountMinSketch,,450.0,2.0,,414.0,,0.000189,,0.0,0.5797788309636651
CountMinSketch,,500.0,2.0,,440.0,,0.000203,,0.0,0.5797788309636651
CountMinSketch,,550.0,2.0,,464.0,,0.000236,,0.0,0.5797788309636651
CountMinSketch,,600.0,2.0,,482.0,,0.000260,,0.0,0.5797788309636651
CountMinSketch,,650.0,2.0,,507.0,,0.000283,,0.0,0.5797788309636651
CountMinSketch,,700.0,2.0,,540.0,,0.000301,,0.0,0.5797788309636651
CountMinSketch,,750.0,2.0,,564.0,,0.000312,,0.0,0.5797788309636651
CountMinSketch,,800.0,2.0,,582.0,,0.000344,,0.0,0.5797788309636651
CountMinSketch,,850.0,2.0,,607.0,,0.000353,,0.0,0.5797788309636651
CountMinSketch,,900.0,2.0,,640.0,,0.000368,,0.0,0.5797788309636651
CountMinSketch,,950.0,2.0,,664.0,,0.000391,,0.0,0.5797788309636651
CountMinSketch,,1000.0,2.0,,690.0,,0.000421,,0.0,0.5797788309636651
