method,minhash_depth,cms_width,cms_depth,size_minhash,size_cms,time_minhash,time_cms,error_minhash,error_cms,jaccard_similarity
MinHash,50.0,,,200.0,,0.000010,,0.0,,1.0
MinHash,100.0,,,400.0,,0.000017,,0.0,,1.0
MinHash,200.0,,,800.0,,0.000033,,0.0,,1.0
MinHash,300.0,,,1200.0,,0.000050,,0.0,,1.0
MinHash,400.0,,,1600.0,,0.000068,,0.0,,1.0
MinHash,500.0,,,2000.0,,0.000087,,0.0,,1.0
MinHash,600.0,,,2400.0,,0.000108,,0.0,,1.0
MinHash,700.0,,,2800.0,,0.000127,,0.0,,1.0
MinHash,800.0,,,3200.0,,0.000148,,0.0,,1.0
MinHash,900.0,,,3600.0,,0.000165,,0.0,,1.0
MinHash,1000.0,,,4000.0,,0.000186,,0.0,,1.0
MinHash,1100.0,,,4400.0,,0.000209,,0.0,,1.0
MinHash,1200.0,,,4800.0,,0.000224,,0.0,,1.0
MinHash,1300.0,,,5200.0,,0.000244,,0.0,,1.0
MinHash,1400.0,,,5600.0,,0.000265,,0.0,,1.0
MinHash,1500.0,,,6000.0,,0.000285,,0.0,,1.0
MinHash,1600.0,,,6400.0,,0.000299,,0.0,,1.0
MinHash,1700.0,,,6800.0,,0.000324,,0.0,,1.0
MinHash,1800.0,,,7200.0,,0.000344,,0.0,,1.0
MinHash,1900.0,,,7600.0,,0.000364,,0.0,,1.0
MinHash,2000.0,,,8000.0,,0.000380,,0.0,,1.0
CountMinSketch,,25.0,2.0,,76.0,,0.000010,,0.0,1.0
CountMinSketch,,50.0,2.0,,88.0,,0.000019,,0.0,1.0
CountMinSketch,,100.0,2.0,,114.0,,0.000036,,0.0,1.0
CountMinSketch,,150.0,2.0,,138.0,,0.000055,,0.0,1.0
CountMinSketch,,200.0,2.0,,164.0,,0.000076,,0.0,1.0
CountMinSketch,,250.0,2.0,,188.0,,0.000100,,0.0,1.0
CountMinSketch,,300.0,2.0,,214.0,,0.000118,,0.0,1.0
CountMinSketch,,350.0,2.0,,238.0,,0.000140,,0.0,1.0
CountMinSketch,,400.0,2.0,,264.0,,0.000160,,0.0,1.0
CountMinSketch,,450.0,2.0,,288.0,,0.000181,,0.0,1.0
CountMinSketch,,500.0,2.0,,314.0,,0.000203,,0.0,1.0
CountMinSketch,,550.0,2.0,,338.0,,0.000227,,0.0,1.0
CountMinSketch,,600.0,2.0,,364.0,,0.000250,,0.0,1.0
CountMinSketch,,650.0,2.0,,388.0,,0.000271,,0.0,1.0
CountMinSketch,,700.0,2.0,,414.0,,0.000291,,0.0,1.0
CountMinSketch,,750.0,2.0,,438.0,,0.000312,,0.0,1.0
CountMinSketch,,800.0,2.0,,464.0,,0.000331,,0.0,1.0
CountMinSketch,,850.0,2.0,,488.0,,0.000350,,0.0,1.0
CountMinSketch,,900.0,2.0,,514.0,,0.000373,,0.0,1.0
CountMinSketch,,950.0,2.0,,538.0,,0.000392,,0.0,1.0
CountMinSketch,,1000.0,2.0,,564.0,,0.000417,,0.0,1.0
