method,minhash_depth,cms_width,cms_depth,size_minhash,size_cms,time_minhash,time_cms,error_minhash,error_cms,jaccard_similarity
MinHash,50.0,,,200.0,,0.000010,,0.0,,1.0
MinHash,100.0,,,400.0,,0.000017,,0.0,,1.0
MinHash,200.0,,,800.0,,0.000032,,0.0,,1.0
MinHash,300.0,,,1200.0,,0.000049,,0.0,,1.0
MinHash,400.0,,,1600.0,,0.000069,,0.0,,1.0
MinHash,500.0,,,2000.0,,0.000087,,0.0,,1.0
MinHash,600.0,,,2400.0,,0.000110,,0.0,,1.0
MinHash,700.0,,,2800.0,,0.000126,,0.0,,1.0
MinHash,800.0,,,3200.0,,0.000146,,0.0,,1.0
MinHash,900.0,,,3600.0,,0.000166,,0.0,,1.0
MinHash,1000.0,,,4000.0,,0.000187,,0.0,,1.0
MinHash,1100.0,,,4400.0,,0.000205,,0.0,,1.0
MinHash,1200.0,,,4800.0,,0.000225,,0.0,,1.0
MinHash,1300.0,,,5200.0,,0.000243,,0.0,,1.0
MinHash,1400.0,,,5600.0,,0.000263,,0.0,,1.0
MinHash,1500.0,,,6000.0,,0.000282,,0.0,,1.0
MinHash,1600.0,,,6400.0,,0.000301,,0.0,,1.0
MinHash,1700.0,,,6800.0,,0.000322,,0.0,,1.0
MinHash,1800.0,,,7200.0,,0.000341,,0.0,,1.0
MinHash,1900.0,,,7600.0,,0.000360,,0.0,,1.0
MinHash,2000.0,,,8000.0,,0.000381,,0.0,,1.0
CountMinSketch,,25.0,2.0,,108.0,,0.000010,,0.0,1.0
CountMinSketch,,50.0,2.0,,120.0,,0.000019,,0.0,1.0
CountMinSketch,,100.0,2.0,,146.0,,0.000035,,0.0,1.0
CountMinSketch,,150.0,2.0,,170.0,,0.000056,,0.0,1.0
CountMinSketch,,200.0,2.0,,196.0,,0.000077,,0.0,1.0
CountMinSketch,,250.0,2.0,,220.0,,0.000097,,0.0,1.0
CountMinSketch,,300.0,2.0,,246.0,,0.000119,,0.0,1.0
CountMinSketch,,350.0,2.0,,270.0,,0.000140,,0.0,1.0
CountMinSketch,,400.0,2.0,,296.0,,0.000164,,0.0,1.0
CountMinSketch,,450.0,2.0,,320.0,,0.000182,,0.0,1.0
CountMinSketch,,500.0,2.0,,346.0,,0.000204,,0.0,1.0
CountMinSketch,,550.0,2.0,,370.0,,0.000225,,0.0,1.0
CountMinSketch,,600.0,2.0,,396.0,,0.000247,,0.0,1.0
CountMinSketch,,650.0,2.0,,420.0,,0.000267,,0.0,1.0
CountMinSketch,,700.0,2.0,,446.0,,0.000299,,0.0,1.0
CountMinSketch,,750.0,2.0,,470.0,,0.000311,,0.0,1.0
CountMinSketch,,800.0,2.0,,496.0,,0.000330,,0.0,1.0
CountMinSketch,,850.0,2.0,,520.0,,0.000351,,0.0,1.0
CountMinSketch,,900.0,2.0,,546.0,,0.000382,,0.0,1.0
CountMinSketch,,950.0,2.0,,570.0,,0.000397,,0.0,1.0
CountMinSketch,,1000.0,2.0,,596.0,,0.000420,,0.0,1.0
