method,minhash_depth,cms_width,cms_depth,size_minhash,size_cms,time_minhash,time_cms,error_minhash,error_cms,jaccard_similarity
MinHash,50.0,,,200.0,,0.000012,,0.0006403415154749847,,0.7006403415154749
MinHash,100.0,,,400.0,,0.000018,,0.0006403415154749847,,0.7006403415154749
MinHash,200.0,,,800.0,,0.000037,,0.005640341515474989,,0.7006403415154749
MinHash,300.0,,,1200.0,,0.000052,,0.02064034151547489,,0.7006403415154749
MinHash,400.0,,,1600.0,,0.000072,,0.01314034151547494,,0.7006403415154749
MinHash,500.0,,,2000.0,,0.000091,,0.010640341515474994,,0.7006403415154749
MinHash,600.0,,,2400.0,,0.000108,,0.007307008182141583,,0.7006403415154749
MinHash,700.0,,,2800.0,,0.000129,,0.000788229913096461,,0.7006403415154749
MinHash,800.0,,,3200.0,,0.000149,,0.00435965848452502,,0.7006403415154749
MinHash,900.0,,,3600.0,,0.000166,,0.008248547373413961,,0.7006403415154749
MinHash,1000.0,,,4000.0,,0.000188,,0.011359658484525026,,0.7006403415154749
MinHash,1100.0,,,4400.0,,0.000205,,0.010268749393615995,,0.7006403415154749
MinHash,1200.0,,,4800.0,,0.000225,,0.015192991817858381,,0.7006403415154749
MinHash,1300.0,,,5200.0,,0.000246,,0.013205812330678857,,0.7006403415154749
MinHash,1400.0,,,5600.0,,0.000261,,0.015073944198810807,,0.7006403415154749
MinHash,1500.0,,,6000.0,,0.000285,,0.018026325151191736,,0.7006403415154749
MinHash,1600.0,,,6400.0,,0.000303,,0.018734658484525046,,0.7006403415154749
MinHash,1700.0,,,6800.0,,0.000325,,0.016418482013936808,,0.7006403415154749
MinHash,1800.0,,,7200.0,,0.000343,,0.01102632515119173,,0.7006403415154749
MinHash,1900.0,,,7600.0,,0.000356,,0.010938605852946148,,0.7006403415154749
MinHash,2000.0,,,8000.0,,0.000379,,0.00885965848452508,,0.7006403415154749
CountMinSketch,,25.0,2.0,,682.0,,0.000011,,0.07040717168263566,0.7006403415154749
CountMinSketch,,50.0,2.0,,1041.0,,0.000019,,0.02954424046063797,0.7006403415154749
CountMinSketch,,100.0,2.0,,1256.0,,0.000037,,0.02346028061057326,0.7006403415154749
CountMinSketch,,150.0,2.0,,1399.0,,0.000057,,0.020201991097915983,0.7006403415154749
CountMinSketch,,200.0,2.0,,1486.0,,0.000080,,0.018809348260624303,0.7006403415154749
CountMinSketch,,250.0,2.0,,1575.0,,0.000098,,0.005462442210435126,0.7006403415154749
CountMinSketch,,300.0,2.0,,1568.0,,0.000119,,0.012340040102369776,0.7006403415154749
CountMinSketch,,350.0,2.0,,1688.0,,0.000141,,0.004093544550318073,0.7006403415154749
CountMinSketch,,400.0,2.0,,1689.0,,0.000163,,0.004549599629522394,0.7006403415154749
CountMinSketch,,450.0,2.0,,1667.0,,0.000184,,0.005462442210435126,0.7006403415154749
CountMinSketch,,500.0,2.0,,1763.0,,0.000204,,0.005462442210435126,0.7006403415154749
CountMinSketch,,550.0,2.0,,1811.0,,0.000225,,0.012800518699578878,0.7006403415154749
CountMinSketch,,600.0,2.0,,1774.0,,0.000247,,0.008206843471120218,0.7006403415154749
CountMinSketch,,650.0,2.0,,1838.0,,0.000269,,0.0050058987842307445,0.7006403415154749
CountMinSketch,,700.0,2.0,,1879.0,,0.000287,,0.0022717610760292217,0.7006403415154749
CountMinSketch,,750.0,2.0,,1927.0,,0.000310,,0.0,0.7006403415154749
CountMinSketch,,800.0,2.0,,1944.0,,0.000335,,0.0022717610760292217,0.7006403415154749
CountMinSketch,,850.0,2.0,,1969.0,,0.000355,,0.0,0.7006403415154749
CountMinSketch,,900.0,2.0,,1947.0,,0.000372,,0.0013623287114943317,0.7006403415154749
CountMinSketch,,950.0,2.0,,2043.0,,0.000396,,0.0,0.7006403415154749
CountMinSketch,,1000.0,2.0,,2037.0,,0.000420,,0.0050058987842307445,0.7006403415154749
