method,minhash_depth,cms_width,cms_depth,size_minhash,size_cms,time_minhash,time_cms,error_minhash,error_cms,jaccard_similarity
MinHash,50.0,,,200.0,,0.000010,,0.008735632183908049,,0.5287356321839081
MinHash,100.0,,,400.0,,0.000018,,0.07126436781609191,,0.5287356321839081
MinHash,200.0,,,800.0,,0.000033,,0.023735632183908062,,0.5287356321839081
MinHash,300.0,,,1200.0,,0.000051,,0.03540229885057472,,0.5287356321839081
MinHash,400.0,,,1600.0,,0.000070,,0.018735632183908058,,0.5287356321839081
MinHash,500.0,,,2000.0,,0.000089,,0.02273563218390806,,0.5287356321839081
MinHash,600.0,,,2400.0,,0.000110,,0.018735632183908058,,0.5287356321839081
MinHash,700.0,,,2800.0,,0.000128,,0.030164203612479512,,0.5287356321839081
MinHash,800.0,,,3200.0,,0.000149,,0.038735632183908075,,0.5287356321839081
MinHash,900.0,,,3600.0,,0.000164,,0.038735632183908075,,0.5287356321839081
MinHash,1000.0,,,4000.0,,0.000184,,0.04173563218390808,,0.5287356321839081
MinHash,1100.0,,,4400.0,,0.000203,,0.033281086729362586,,0.5287356321839081
MinHash,1200.0,,,4800.0,,0.000223,,0.03206896551724142,,0.5287356321839081
MinHash,1300.0,,,5200.0,,0.000243,,0.0325817860300619,,0.5287356321839081
MinHash,1400.0,,,5600.0,,0.000262,,0.030164203612479512,,0.5287356321839081
MinHash,1500.0,,,6000.0,,0.000281,,0.03140229885057472,,0.5287356321839081
MinHash,1600.0,,,6400.0,,0.000315,,0.024985632183908035,,0.5287356321839081
MinHash,1700.0,,,6800.0,,0.000318,,0.023441514536849284,,0.5287356321839081
MinHash,1800.0,,,7200.0,,0.000340,,0.0259578544061303,,0.5287356321839081
MinHash,1900.0,,,7600.0,,0.000364,,0.023472474289171208,,0.5287356321839081
MinHash,2000.0,,,8000.0,,0.000385,,0.018735632183908058,,0.5287356321839081
CountMinSketch,,25.0,2.0,,462.0,,0.000011,,0.1442203426588592,0.5287356321839081
CountMinSketch,,50.0,2.0,,577.0,,0.000019,,0.07367400637030885,0.5287356321839081
CountMinSketch,,100.0,2.0,,634.0,,0.000037,,0.06407873907357697,0.5287356321839081
CountMinSketch,,150.0,2.0,,666.0,,0.000056,,0.0452288648575121,0.5287356321839081
CountMinSketch,,200.0,2.0,,692.0,,0.000076,,0.0452288648575121,0.5287356321839081
CountMinSketch,,250.0,2.0,,716.0,,0.000098,,0.008836622151352058,0.5287356321839081
CountMinSketch,,300.0,2.0,,742.0,,0.000118,,0.0359702501690331,0.5287356321839081
CountMinSketch,,350.0,2.0,,774.0,,0.000140,,0.008836622151352058,0.5287356321839081
CountMinSketch,,400.0,2.0,,792.0,,0.000165,,0.01777599572306865,0.5287356321839081
CountMinSketch,,450.0,2.0,,824.0,,0.000184,,0.008836622151352058,0.5287356321839081
CountMinSketch,,500.0,2.0,,850.0,,0.000204,,0.008836622151352058,0.5287356321839081
CountMinSketch,,550.0,2.0,,874.0,,0.000226,,0.0,0.5287356321839081
CountMinSketch,,600.0,2.0,,892.0,,0.000249,,0.026819923371647514,0.5287356321839081
CountMinSketch,,650.0,2.0,,924.0,,0.000268,,0.0,0.5287356321839081
CountMinSketch,,700.0,2.0,,950.0,,0.000288,,0.008836622151352058,0.5287356321839081
CountMinSketch,,750.0,2.0,,974.0,,0.000309,,0.0,0.5287356321839081
CountMinSketch,,800.0,2.0,,992.0,,0.000330,,0.01777599572306865,0.5287356321839081
CountMinSketch,,850.0,2.0,,1016.0,,0.000352,,0.0,0.5287356321839081
CountMinSketch,,900.0,2.0,,1050.0,,0.000373,,0.008836622151352058,0.5287356321839081
CountMinSketch,,950.0,2.0,,1066.0,,0.000394,,0.008836622151352058,0.5287356321839081
CountMinSketch,,1000.0,2.0,,1100.0,,0.000417,,0.0,0.5287356321839081
