method,minhash_depth,cms_width,cms_depth,size_minhash,size_cms,time_minhash,time_cms,error_minhash,error_cms,jaccard_similarity
MinHash,50.0,,,200.0,,0.000012,,0.020740740740740726,,0.7407407407407407
MinHash,100.0,,,400.0,,0.000016,,0.040740740740740744,,0.7407407407407407
MinHash,200.0,,,800.0,,0.000033,,0.020740740740740726,,0.7407407407407407
MinHash,300.0,,,1200.0,,0.000051,,0.027407407407407325,,0.7407407407407407
MinHash,400.0,,,1600.0,,0.000069,,0.015740740740740722,,0.7407407407407407
MinHash,500.0,,,2000.0,,0.000088,,0.020740740740740726,,0.7407407407407407
MinHash,600.0,,,2400.0,,0.000107,,0.014074074074074017,,0.7407407407407407
MinHash,700.0,,,2800.0,,0.000129,,0.010740740740740717,,0.7407407407407407
MinHash,800.0,,,3200.0,,0.000148,,0.00824074074074066,,0.7407407407407407
MinHash,900.0,,,3600.0,,0.000168,,0.014074074074074017,,0.7407407407407407
MinHash,1000.0,,,4000.0,,0.000189,,0.015740740740740722,,0.7407407407407407
MinHash,1100.0,,,4400.0,,0.000206,,0.021649831649831586,,0.7407407407407407
MinHash,1200.0,,,4800.0,,0.000223,,0.023240740740740673,,0.7407407407407407
MinHash,1300.0,,,5200.0,,0.000243,,0.016894586894586894,,0.7407407407407407
MinHash,1400.0,,,5600.0,,0.000265,,0.017883597883597835,,0.7407407407407407
MinHash,1500.0,,,6000.0,,0.000287,,0.020074074074074022,,0.7407407407407407
MinHash,1600.0,,,6400.0,,0.000301,,0.023240740740740673,,0.7407407407407407
MinHash,1700.0,,,6800.0,,0.000320,,0.022505446623093617,,0.7407407407407407
MinHash,1800.0,,,7200.0,,0.000339,,0.020740740740740726,,0.7407407407407407
MinHash,1900.0,,,7600.0,,0.000371,,0.018635477582846005,,0.7407407407407407
MinHash,2000.0,,,8000.0,,0.000377,,0.01924074074074067,,0.7407407407407407
CountMinSketch,,25.0,2.0,,186.0,,0.000011,,0.0,0.7407407407407407
CountMinSketch,,50.0,2.0,,214.0,,0.000019,,0.0,0.7407407407407407
CountMinSketch,,100.0,2.0,,240.0,,0.000036,,0.0,0.7407407407407407
CountMinSketch,,150.0,2.0,,296.0,,0.000056,,0.0,0.7407407407407407
CountMinSketch,,200.0,2.0,,306.0,,0.000077,,0.0,0.7407407407407407
CountMinSketch,,250.0,2.0,,346.0,,0.000098,,0.0,0.7407407407407407
CountMinSketch,,300.0,2.0,,372.0,,0.000121,,0.0,0.7407407407407407
CountMinSketch,,350.0,2.0,,396.0,,0.000142,,0.0,0.7407407407407407
CountMinSketch,,400.0,2.0,,406.0,,0.000162,,0.0,0.7407407407407407
CountMinSketch,,450.0,2.0,,446.0,,0.000186,,0.0,0.7407407407407407
CountMinSketch,,500.0,2.0,,472.0,,0.000205,,0.0,0.7407407407407407
CountMinSketch,,550.0,2.0,,496.0,,0.000229,,0.0,0.7407407407407407
CountMinSketch,,600.0,2.0,,522.0,,0.000246,,0.0,0.7407407407407407
CountMinSketch,,650.0,2.0,,546.0,,0.000266,,0.0,0.7407407407407407
CountMinSketch,,700.0,2.0,,572.0,,0.000286,,0.0,0.7407407407407407
CountMinSketch,,750.0,2.0,,596.0,,0.000313,,0.0,0.7407407407407407
CountMinSketch,,800.0,2.0,,606.0,,0.000332,,0.0,0.7407407407407407
CountMinSketch,,850.0,2.0,,630.0,,0.000353,,0.0,0.7407407407407407
CountMinSketch,,900.0,2.0,,672.0,,0.000371,,0.0,0.7407407407407407
CountMinSketch,,950.0,2.0,,696.0,,0.000401,,0.0,0.7407407407407407
CountMinSketch,,1000.0,2.0,,722.0,,0.000420,,0.0,0.7407407407407407
