method,minhash_depth,cms_width,cms_depth,size_minhash,size_cms,time_minhash,time_cms,error_minhash,error_cms,jaccard_similarity
MinHash,50.0,,,200.0,,0.000010,,0.06392857142857145,,0.6160714285714286
MinHash,100.0,,,400.0,,0.000016,,0.02392857142857141,,0.6160714285714286
MinHash,200.0,,,800.0,,0.000034,,0.04392857142857143,,0.6160714285714286
MinHash,300.0,,,1200.0,,0.000051,,0.03726190476190472,,0.6160714285714286
MinHash,400.0,,,1600.0,,0.000068,,0.04142857142857137,,0.6160714285714286
MinHash,500.0,,,2000.0,,0.000088,,0.02192857142857141,,0.6160714285714286
MinHash,600.0,,,2400.0,,0.000107,,0.015595238095238106,,0.6160714285714286
MinHash,700.0,,,2800.0,,0.000126,,0.003928571428571392,,0.6160714285714286
MinHash,800.0,,,3200.0,,0.000145,,0.009821428571428648,,0.6160714285714286
MinHash,900.0,,,3600.0,,0.000163,,0.004960317460317443,,0.6160714285714286
MinHash,1000.0,,,4000.0,,0.000182,,0.00907142857142862,,0.6160714285714286
MinHash,1100.0,,,4400.0,,0.000202,,0.019707792207792285,,0.6160714285714286
MinHash,1200.0,,,4800.0,,0.000222,,0.022738095238095224,,0.6160714285714286
MinHash,1300.0,,,5200.0,,0.000239,,0.02376373626373629,,0.6160714285714286
MinHash,1400.0,,,5600.0,,0.000265,,0.02392857142857141,,0.6160714285714286
MinHash,1500.0,,,6000.0,,0.000278,,0.024071428571428632,,0.6160714285714286
MinHash,1600.0,,,6400.0,,0.000300,,0.023571428571428577,,0.6160714285714286
MinHash,1700.0,,,6800.0,,0.000317,,0.016071428571428625,,0.6160714285714286
MinHash,1800.0,,,7200.0,,0.000339,,0.016071428571428625,,0.6160714285714286
MinHash,1900.0,,,7600.0,,0.000358,,0.01765037593984964,,0.6160714285714286
MinHash,2000.0,,,8000.0,,0.000378,,0.014071428571428624,,0.6160714285714286
CountMinSketch,,25.0,2.0,,60.0,,0.000010,,0.0,0.6160714285714286
CountMinSketch,,50.0,2.0,,73.0,,0.000018,,0.0,0.6160714285714286
CountMinSketch,,100.0,2.0,,98.0,,0.000036,,0.0,0.6160714285714286
CountMinSketch,,150.0,2.0,,123.0,,0.000055,,0.0,0.6160714285714286
CountMinSketch,,200.0,2.0,,148.0,,0.000076,,0.0,0.6160714285714286
CountMinSketch,,250.0,2.0,,173.0,,0.000097,,0.0,0.6160714285714286
CountMinSketch,,300.0,2.0,,198.0,,0.000118,,0.0,0.6160714285714286
CountMinSketch,,350.0,2.0,,223.0,,0.000140,,0.0,0.6160714285714286
CountMinSketch,,400.0,2.0,,248.0,,0.000161,,0.0,0.6160714285714286
CountMinSketch,,450.0,2.0,,273.0,,0.000182,,0.0,0.6160714285714286
CountMinSketch,,500.0,2.0,,298.0,,0.000204,,0.0,0.6160714285714286
CountMinSketch,,550.0,2.0,,323.0,,0.000224,,0.0,0.6160714285714286
CountMinSketch,,600.0,2.0,,348.0,,0.000246,,0.0,0.6160714285714286
CountMinSketch,,650.0,2.0,,373.0,,0.000269,,0.0,0.6160714285714286
CountMinSketch,,700.0,2.0,,398.0,,0.000288,,0.0,0.6160714285714286
CountMinSketch,,750.0,2.0,,423.0,,0.000312,,0.0,0.6160714285714286
CountMinSketch,,800.0,2.0,,448.0,,0.000331,,0.0,0.6160714285714286
CountMinSketch,,850.0,2.0,,473.0,,0.000353,,0.0,0.6160714285714286
CountMinSketch,,900.0,2.0,,498.0,,0.000376,,0.0,0.6160714285714286
CountMinSketch,,950.0,2.0,,523.0,,0.000400,,0.0,0.6160714285714286
CountMinSketch,,1000.0,2.0,,548.0,,0.000414,,0.0,0.6160714285714286
