method,jaccard_similarity,error_minhash,error_cms,cms_depth,size_minhash,time_minhash,size_cms,time_cms,minhash_depth,cms_width
CountMinSketch,0.7300115874855156,,0.0347638262260683,2.0,,,534.0,1.1e-05,,25.0
CountMinSketch,0.7300115874855156,,0.0182319722334539,2.0,,,648.0,2e-05,,50.0
CountMinSketch,0.7300115874855156,,0.0141472910191572,2.0,,,752.0,3.6e-05,,100.0
CountMinSketch,0.7300115874855156,,0.0050261812535895,2.0,,,824.0,5.7e-05,,150.0
CountMinSketch,0.7300115874855156,,0.0040186099593159,2.0,,,904.0,7.7e-05,,200.0
CountMinSketch,0.7300115874855156,,0.0020069739994031,2.0,,,905.0,9.9e-05,,250.0
CountMinSketch,0.7300115874855156,,0.0030122082196497,2.0,,,946.0,0.000118,,300.0
CountMinSketch,0.7300115874855156,,0.0,2.0,,,987.0,0.000152,,350.0
CountMinSketch,0.7300115874855156,,0.0040186099593159,2.0,,,1004.0,0.000162,,400.0
CountMinSketch,0.7300115874855156,,0.0,2.0,,,1037.0,0.000184,,450.0
CountMinSketch,0.7300115874855156,,0.0010029052681075,2.0,,,1054.0,0.000218,,500.0
CountMinSketch,0.7300115874855156,,0.0,2.0,,,1095.0,0.000226,,550.0
CountMinSketch,0.7300115874855156,,0.0,2.0,,,1120.0,0.000247,,600.0
CountMinSketch,0.7300115874855156,,0.0,2.0,,,1121.0,0.000267,,650.0
CountMinSketch,0.7300115874855156,,0.0,2.0,,,1170.0,0.000289,,700.0
CountMinSketch,0.7300115874855156,,0.0,2.0,,,1187.0,0.000313,,750.0
CountMinSketch,0.7300115874855156,,0.0040186099593159,2.0,,,1204.0,0.00034,,800.0
CountMinSketch,0.7300115874855156,,0.0010029052681075,2.0,,,1221.0,0.000362,,850.0
CountMinSketch,0.7300115874855156,,0.0,2.0,,,1270.0,0.000372,,900.0
CountMinSketch,0.7300115874855156,,0.0,2.0,,,1295.0,0.000396,,950.0
CountMinSketch,0.7300115874855156,,0.0,2.0,,,1320.0,0.000428,,1000.0
MinHash,0.730012,0.0499884,,,1600.0,2.73e-07,,,50.0,
MinHash,0.730012,0.0399884,,,3200.0,2.98e-07,,,100.0,
MinHash,0.730012,0.0400116,,,6400.0,9.46e-07,,,200.0,
MinHash,0.730012,0.0166551,,,9600.0,1.078e-06,,,300.0,
MinHash,0.730012,0.0424884,,,12800.0,1.283e-06,,,400.0,
MinHash,0.730012,0.0100116,,,16000.0,1.76e-06,,,500.0,
MinHash,0.730012,0.0183217,,,19200.0,2.069e-06,,,600.0,
MinHash,0.730012,0.011417,,,22400.0,2.329e-06,,,700.0,
MinHash,0.730012,0.0374884,,,25600.0,2.479e-06,,,800.0,
MinHash,0.730012,0.0233217,,,28800.0,2.994e-06,,,900.0,
MinHash,0.730012,0.0379884,,,32000.0,3.243e-06,,,1000.0,
MinHash,0.730012,0.0418066,,,35200.0,3.476e-06,,,1100.0,
MinHash,0.730012,0.0399884,,,38400.0,3.725e-06,,,1200.0,
MinHash,0.730012,0.0369115,,,41600.0,3.997e-06,,,1300.0,
MinHash,0.730012,0.0299884,,,44800.0,4.485e-06,,,1400.0,
MinHash,0.730012,0.0279884,,,48000.0,4.684e-06,,,1500.0,
MinHash,0.730012,0.0468634,,,51200.0,4.633e-06,,,1600.0,
MinHash,0.730012,0.0441061,,,54400.0,5.278e-06,,,1700.0,
MinHash,0.730012,0.0310995,,,57600.0,5.707e-06,,,1800.0,
MinHash,0.730012,0.0289358,,,60800.0,6.1e-06,,,1900.0,
MinHash,0.730012,0.0299884,,,64000.0,6.384e-06,,,2000.0,
