method,jaccard_similarity,error_minhash,error_cms,cms_depth,size_minhash,time_minhash,size_cms,time_cms,minhash_depth,cms_width
CountMinSketch,0.6666666666666666,,0.0282485875706215,2.0,,,518.0,1.1e-05,,25.0
CountMinSketch,0.6666666666666666,,0.0,2.0,,,608.0,2.3e-05,,50.0
CountMinSketch,0.6666666666666666,,0.0,2.0,,,736.0,3.7e-05,,100.0
CountMinSketch,0.6666666666666666,,0.0,2.0,,,800.0,5.6e-05,,150.0
CountMinSketch,0.6666666666666666,,0.0,2.0,,,834.0,7.7e-05,,200.0
CountMinSketch,0.6666666666666666,,0.0,2.0,,,874.0,9.8e-05,,250.0
CountMinSketch,0.6666666666666666,,0.0,2.0,,,907.0,0.000121,,300.0
CountMinSketch,0.6666666666666666,,0.0,2.0,,,940.0,0.00014,,350.0
CountMinSketch,0.6666666666666666,,0.0,2.0,,,964.0,0.000162,,400.0
CountMinSketch,0.6666666666666666,,0.0,2.0,,,998.0,0.000185,,450.0
CountMinSketch,0.6666666666666666,,0.0,2.0,,,1030.0,0.000208,,500.0
CountMinSketch,0.6666666666666666,,0.0,2.0,,,1064.0,0.000226,,550.0
CountMinSketch,0.6666666666666666,,0.0,2.0,,,1072.0,0.000246,,600.0
CountMinSketch,0.6666666666666666,,0.0,2.0,,,1082.0,0.000268,,650.0
CountMinSketch,0.6666666666666666,,0.0,2.0,,,1114.0,0.000293,,700.0
CountMinSketch,0.6666666666666666,,0.0,2.0,,,1148.0,0.000314,,750.0
CountMinSketch,0.6666666666666666,,0.0,2.0,,,1188.0,0.00033,,800.0
CountMinSketch,0.6666666666666666,,0.0,2.0,,,1198.0,0.000356,,850.0
CountMinSketch,0.6666666666666666,,0.0,2.0,,,1222.0,0.000376,,900.0
CountMinSketch,0.6666666666666666,,0.0,2.0,,,1248.0,0.000398,,950.0
CountMinSketch,0.6666666666666666,,0.0,2.0,,,1280.0,0.00042,,1000.0
MinHash,0.666667,0.00666667,,,1600.0,2.53e-07,,,50.0,
MinHash,0.666667,0.0366667,,,3200.0,4.66e-07,,,100.0,
MinHash,0.666667,0.0333333,,,6400.0,7.69e-07,,,200.0,
MinHash,0.666667,0.0266667,,,9600.0,1.147e-06,,,300.0,
MinHash,0.666667,0.0141667,,,12800.0,1.599e-06,,,400.0,
MinHash,0.666667,0.00666667,,,16000.0,2.047e-06,,,500.0,
MinHash,0.666667,0.025,,,19200.0,2.614e-06,,,600.0,
MinHash,0.666667,0.0109524,,,22400.0,2.853e-06,,,700.0,
MinHash,0.666667,0.0104167,,,25600.0,3.359e-06,,,800.0,
MinHash,0.666667,0.00111111,,,28800.0,3.677e-06,,,900.0,
MinHash,0.666667,0.00566667,,,32000.0,4.102e-06,,,1000.0,
MinHash,0.666667,0.00757576,,,35200.0,4.495e-06,,,1100.0,
MinHash,0.666667,0.00166667,,,38400.0,4.931e-06,,,1200.0,
MinHash,0.666667,0.0158974,,,41600.0,5.335e-06,,,1300.0,
MinHash,0.666667,0.00738095,,,44800.0,5.937e-06,,,1400.0,
MinHash,0.666667,0.012,,,48000.0,6.268e-06,,,1500.0,
MinHash,0.666667,0.00791667,,,51200.0,6.61e-06,,,1600.0,
MinHash,0.666667,0.0054902,,,54400.0,7.055e-06,,,1700.0,
MinHash,0.666667,0.0,,,57600.0,7.264e-06,,,1800.0,
MinHash,0.666667,0.00824561,,,60800.0,8.063e-06,,,1900.0,
MinHash,0.666667,0.00266667,,,64000.0,8.145e-06,,,2000.0,
