method,jaccard_similarity,error_minhash,error_cms,cms_depth,size_minhash,time_minhash,size_cms,time_cms,minhash_depth,cms_width
CountMinSketch,0.8281353682813537,,0.0171425955498586,2.0,,,800.0,1.1e-05,,25.0
CountMinSketch,0.8281353682813537,,0.0171425955498586,2.0,,,1600.0,2.1e-05,,50.0
CountMinSketch,0.8281353682813537,,0.0152905266667895,2.0,,,3200.0,3.6e-05,,100.0
CountMinSketch,0.8281353682813537,,0.0134421718255981,2.0,,,4800.0,5.7e-05,,150.0
CountMinSketch,0.8281353682813537,,0.0115975198655577,2.0,,,6393.0,7.9e-05,,200.0
CountMinSketch,0.8281353682813537,,0.0122119931080918,2.0,,,7914.0,0.000105,,250.0
CountMinSketch,0.8281353682813537,,0.0091437247496566,2.0,,,9443.0,0.000123,,300.0
CountMinSketch,0.8281353682813537,,0.0097565596706142,2.0,,,10854.0,0.000148,,350.0
CountMinSketch,0.8281353682813537,,0.0097565596706142,2.0,,,12336.0,0.000168,,400.0
CountMinSketch,0.8281353682813537,,0.0097565596706142,2.0,,,13668.0,0.000188,,450.0
CountMinSketch,0.8281353682813537,,0.0066964665504811,2.0,,,14828.0,0.000211,,500.0
CountMinSketch,0.8281353682813537,,0.006085670333826,2.0,,,16066.0,0.000232,,550.0
CountMinSketch,0.8281353682813537,,0.0054752806371155,2.0,,,17137.0,0.000252,,600.0
CountMinSketch,0.8281353682813537,,0.0066964665504811,2.0,,,17879.0,0.000277,,650.0
CountMinSketch,0.8281353682813537,,0.0042557191812335,2.0,,,18865.0,0.000299,,700.0
CountMinSketch,0.8281353682813537,,0.0036465466122632,2.0,,,19922.0,0.000319,,750.0
CountMinSketch,0.8281353682813537,,0.0054752806371155,2.0,,,20663.0,0.000339,,800.0
CountMinSketch,0.8281353682813537,,0.0036465466122632,2.0,,,21342.0,0.000361,,850.0
CountMinSketch,0.8281353682813537,,0.0042557191812335,2.0,,,22383.0,0.000381,,900.0
CountMinSketch,0.8281353682813537,,0.006085670333826,2.0,,,22943.0,0.000404,,950.0
CountMinSketch,0.8281353682813537,,0.0042557191812335,2.0,,,23441.0,0.000431,,1000.0
MinHash,0.828135,0.0481354,,,1600.0,1.95e-07,,,50.0,
MinHash,0.828135,0.0381354,,,3200.0,3.21e-07,,,100.0,
MinHash,0.828135,0.0231354,,,6400.0,5.28e-07,,,200.0,
MinHash,0.828135,0.00480203,,,9600.0,6.82e-07,,,300.0,
MinHash,0.828135,0.0131354,,,12800.0,1.063e-06,,,400.0,
MinHash,0.828135,0.00413537,,,16000.0,1.237e-06,,,500.0,
MinHash,0.828135,0.000197965,,,19200.0,1.498e-06,,,600.0,
MinHash,0.828135,0.0147218,,,22400.0,1.642e-06,,,700.0,
MinHash,0.828135,0.00311463,,,25600.0,1.979e-06,,,800.0,
MinHash,0.828135,0.000753521,,,28800.0,2.313e-06,,,900.0,
MinHash,0.828135,0.0141354,,,32000.0,2.572e-06,,,1000.0,
MinHash,0.828135,0.00277372,,,35200.0,2.75e-06,,,1100.0,
MinHash,0.828135,0.000635368,,,38400.0,2.983e-06,,,1200.0,
MinHash,0.828135,0.00263386,,,41600.0,3.001e-06,,,1300.0,
MinHash,0.828135,0.00186463,,,44800.0,3.303e-06,,,1400.0,
MinHash,0.828135,0.00813537,,,48000.0,3.719e-06,,,1500.0,
MinHash,0.828135,0.00313537,,,51200.0,4.231e-06,,,1600.0,
MinHash,0.828135,0.00892346,,,54400.0,4.146e-06,,,1700.0,
MinHash,0.828135,0.00869092,,,57600.0,4.877e-06,,,1800.0,
MinHash,0.828135,0.00339853,,,60800.0,4.825e-06,,,1900.0,
MinHash,0.828135,0.000864632,,,64000.0,5.1e-06,,,2000.0,
