method,jaccard_similarity,error_minhash,error_cms,cms_depth,size_minhash,time_minhash,size_cms,time_cms,minhash_depth,cms_width
CountMinSketch,0.8027210884353742,,0.0,2.0,,,140.0,1e-05,,25.0
CountMinSketch,0.8027210884353742,,0.0,2.0,,,152.0,1.9e-05,,50.0
CountMinSketch,0.8027210884353742,,0.0,2.0,,,176.0,3.6e-05,,100.0
CountMinSketch,0.8027210884353742,,0.0,2.0,,,202.0,5.5e-05,,150.0
CountMinSketch,0.8027210884353742,,0.0,2.0,,,226.0,7.6e-05,,200.0
CountMinSketch,0.8027210884353742,,0.0,2.0,,,252.0,9.8e-05,,250.0
CountMinSketch,0.8027210884353742,,0.0,2.0,,,276.0,0.000119,,300.0
CountMinSketch,0.8027210884353742,,0.0,2.0,,,302.0,0.000141,,350.0
CountMinSketch,0.8027210884353742,,0.0,2.0,,,326.0,0.000161,,400.0
CountMinSketch,0.8027210884353742,,0.0,2.0,,,352.0,0.000183,,450.0
CountMinSketch,0.8027210884353742,,0.0,2.0,,,376.0,0.000204,,500.0
CountMinSketch,0.8027210884353742,,0.0,2.0,,,402.0,0.000226,,550.0
CountMinSketch,0.8027210884353742,,0.0,2.0,,,426.0,0.000247,,600.0
CountMinSketch,0.8027210884353742,,0.0,2.0,,,452.0,0.000277,,650.0
CountMinSketch,0.8027210884353742,,0.0,2.0,,,476.0,0.000287,,700.0
CountMinSketch,0.8027210884353742,,0.0,2.0,,,502.0,0.000314,,750.0
CountMinSketch,0.8027210884353742,,0.0,2.0,,,526.0,0.000331,,800.0
CountMinSketch,0.8027210884353742,,0.0,2.0,,,552.0,0.000355,,850.0
CountMinSketch,0.8027210884353742,,0.0,2.0,,,576.0,0.000378,,900.0
CountMinSketch,0.8027210884353742,,0.0,2.0,,,602.0,0.000394,,950.0
CountMinSketch,0.8027210884353742,,0.0,2.0,,,626.0,0.000418,,1000.0
MinHash,0.802721,0.0227211,,,1600.0,2.35e-07,,,50.0,
MinHash,0.802721,0.0772789,,,3200.0,2.22e-07,,,100.0,
MinHash,0.802721,0.0572789,,,6400.0,4.56e-07,,,200.0,
MinHash,0.802721,0.0639456,,,9600.0,6.06e-07,,,300.0,
MinHash,0.802721,0.0522789,,,12800.0,8.22e-07,,,400.0,
MinHash,0.802721,0.0252789,,,16000.0,1.276e-06,,,500.0,
MinHash,0.802721,0.0172789,,,19200.0,1.653e-06,,,600.0,
MinHash,0.802721,0.0544218,,,22400.0,1.598e-06,,,700.0,
MinHash,0.802721,0.000221088,,,25600.0,2.17e-06,,,800.0,
MinHash,0.802721,0.0128345,,,28800.0,2.494e-06,,,900.0,
MinHash,0.802721,0.0452789,,,32000.0,2.377e-06,,,1000.0,
MinHash,0.802721,0.0354607,,,35200.0,2.809e-06,,,1100.0,
MinHash,0.802721,0.0414456,,,38400.0,2.755e-06,,,1200.0,
MinHash,0.802721,0.0395866,,,41600.0,3.047e-06,,,1300.0,
MinHash,0.802721,0.0451361,,,44800.0,3.41e-06,,,1400.0,
MinHash,0.802721,0.0699456,,,48000.0,3.189e-06,,,1500.0,
MinHash,0.802721,0.0341539,,,51200.0,3.864e-06,,,1600.0,
MinHash,0.802721,0.0519848,,,54400.0,3.767e-06,,,1700.0,
MinHash,0.802721,0.0311678,,,57600.0,4.486e-06,,,1800.0,
MinHash,0.802721,0.0293842,,,60800.0,4.706e-06,,,1900.0,
MinHash,0.802721,0.0547789,,,64000.0,4.565e-06,,,2000.0,
