method,jaccard_similarity,error_minhash,error_cms,cms_depth,size_minhash,time_minhash,size_cms,time_cms,minhash_depth,cms_width
CountMinSketch,0.9976004799040192,,0.000599340077979,2.0,,,84.0,1.1e-05,,25.0
CountMinSketch,0.9976004799040192,,0.000599340077979,2.0,,,104.0,1.9e-05,,50.0
CountMinSketch,0.9976004799040192,,0.0,2.0,,,130.0,3.6e-05,,100.0
CountMinSketch,0.9976004799040192,,0.0,2.0,,,154.0,5.6e-05,,150.0
CountMinSketch,0.9976004799040192,,0.0,2.0,,,180.0,8.1e-05,,200.0
CountMinSketch,0.9976004799040192,,0.0,2.0,,,204.0,9.7e-05,,250.0
CountMinSketch,0.9976004799040192,,0.0,2.0,,,230.0,0.000123,,300.0
CountMinSketch,0.9976004799040192,,0.0,2.0,,,254.0,0.000139,,350.0
CountMinSketch,0.9976004799040192,,0.0,2.0,,,280.0,0.000161,,400.0
CountMinSketch,0.9976004799040192,,0.0,2.0,,,304.0,0.000184,,450.0
CountMinSketch,0.9976004799040192,,0.0,2.0,,,330.0,0.000206,,500.0
CountMinSketch,0.9976004799040192,,0.000599340077979,2.0,,,354.0,0.000226,,550.0
CountMinSketch,0.9976004799040192,,0.0,2.0,,,380.0,0.000247,,600.0
CountMinSketch,0.9976004799040192,,0.0,2.0,,,404.0,0.000267,,650.0
CountMinSketch,0.9976004799040192,,0.0,2.0,,,430.0,0.000289,,700.0
CountMinSketch,0.9976004799040192,,0.0,2.0,,,454.0,0.000312,,750.0
CountMinSketch,0.9976004799040192,,0.0,2.0,,,480.0,0.000333,,800.0
CountMinSketch,0.9976004799040192,,0.0,2.0,,,504.0,0.000356,,850.0
CountMinSketch,0.9976004799040192,,0.0,2.0,,,530.0,0.000377,,900.0
CountMinSketch,0.9976004799040192,,0.0,2.0,,,554.0,0.000395,,950.0
CountMinSketch,0.9976004799040192,,0.0,2.0,,,580.0,0.000419,,1000.0
MinHash,0.9976,0.0176005,,,1600.0,1.28e-07,,,50.0,
MinHash,0.9976,0.00760048,,,3200.0,1.12e-07,,,100.0,
MinHash,0.9976,0.00260048,,,6400.0,1.76e-07,,,200.0,
MinHash,0.9976,0.000933813,,,9600.0,2.3e-07,,,300.0,
MinHash,0.9976,0.00010048,,,12800.0,2.87e-07,,,400.0,
MinHash,0.9976,0.00039952,,,16000.0,3.65e-07,,,500.0,
MinHash,0.9976,0.000933813,,,19200.0,4.36e-07,,,600.0,
MinHash,0.9976,0.000457623,,,22400.0,4.94e-07,,,700.0,
MinHash,0.9976,0.00114952,,,25600.0,5.58e-07,,,800.0,
MinHash,0.9976,0.000177298,,,28800.0,6.29e-07,,,900.0,
MinHash,0.9976,0.00039952,,,32000.0,6.68e-07,,,1000.0,
MinHash,0.9976,0.00149043,,,35200.0,7.37e-07,,,1100.0,
MinHash,0.9976,0.00156619,,,38400.0,8.16e-07,,,1200.0,
MinHash,0.9976,0.00144663,,,41600.0,9.16e-07,,,1300.0,
MinHash,0.9976,0.000970949,,,44800.0,9.46e-07,,,1400.0,
MinHash,0.9976,0.000267147,,,48000.0,1.035e-06,,,1500.0,
MinHash,0.9976,0.00010048,,,51200.0,1.134e-06,,,1600.0,
MinHash,0.9976,0.00122305,,,54400.0,1.126e-06,,,1700.0,
MinHash,0.9976,0.00128841,,,57600.0,1.204e-06,,,1800.0,
MinHash,0.9976,0.00134689,,,60800.0,1.262e-06,,,1900.0,
MinHash,0.9976,0.00139952,,,64000.0,1.343e-06,,,2000.0,
