method,jaccard_similarity,error_minhash,error_cms,cms_depth,size_minhash,time_minhash,size_cms,time_cms,minhash_depth,cms_width
CountMinSketch,0.5263157894736842,,0.2243403785053184,2.0,,,800.0,1.1e-05,,25.0
CountMinSketch,0.5263157894736842,,0.194974533106961,2.0,,,1600.0,1.9e-05,,50.0
CountMinSketch,0.5263157894736842,,0.1287710591615515,2.0,,,2980.0,3.7e-05,,100.0
CountMinSketch,0.5263157894736842,,0.110494026477236,2.0,,,4163.0,5.7e-05,,150.0
CountMinSketch,0.5263157894736842,,0.0828518824201638,2.0,,,4833.0,7.8e-05,,200.0
CountMinSketch,0.5263157894736842,,0.0674715462491354,2.0,,,5733.0,9.9e-05,,250.0
CountMinSketch,0.5263157894736842,,0.0617794486215539,2.0,,,6010.0,0.00012,,300.0
CountMinSketch,0.5263157894736842,,0.0561278641443466,2.0,,,6468.0,0.000142,,350.0
CountMinSketch,0.5263157894736842,,0.0357451004560581,2.0,,,6713.0,0.000167,,400.0
CountMinSketch,0.5263157894736842,,0.0467974180734855,2.0,,,7148.0,0.000184,,450.0
CountMinSketch,0.5263157894736842,,0.0394119100568322,2.0,,,7511.0,0.000207,,500.0
CountMinSketch,0.5263157894736842,,0.0320954254795868,2.0,,,7946.0,0.000226,,550.0
CountMinSketch,0.5263157894736842,,0.0375763558956007,2.0,,,7672.0,0.000251,,600.0
CountMinSketch,0.5263157894736842,,0.0357451004560581,2.0,,,8138.0,0.000281,,650.0
CountMinSketch,0.5263157894736842,,0.030276975987226,2.0,,,8115.0,0.000305,,700.0
CountMinSketch,0.5263157894736842,,0.0266527786287604,2.0,,,8480.0,0.000314,,750.0
CountMinSketch,0.5263157894736842,,0.019454778313106,2.0,,,8189.0,0.000352,,800.0
CountMinSketch,0.5263157894736842,,0.0320954254795868,2.0,,,8459.0,0.000354,,850.0
CountMinSketch,0.5263157894736842,,0.0158807423182233,2.0,,,8381.0,0.000382,,900.0
CountMinSketch,0.5263157894736842,,0.030276975987226,2.0,,,8769.0,0.000396,,950.0
CountMinSketch,0.5263157894736842,,0.0284627653048705,2.0,,,8777.0,0.000417,,1000.0
MinHash,0.526316,0.0263158,,,1600.0,3.4e-07,,,50.0,
MinHash,0.526316,0.0263158,,,3200.0,5.7e-07,,,100.0,
MinHash,0.526316,0.0163158,,,6400.0,1.061e-06,,,200.0,
MinHash,0.526316,0.0129825,,,9600.0,1.58e-06,,,300.0,
MinHash,0.526316,0.00381579,,,12800.0,2.003e-06,,,400.0,
MinHash,0.526316,0.00431579,,,16000.0,2.414e-06,,,500.0,
MinHash,0.526316,0.0163158,,,19200.0,2.925e-06,,,600.0,
MinHash,0.526316,0.0106015,,,22400.0,3.31e-06,,,700.0,
MinHash,0.526316,0.00368421,,,25600.0,3.784e-06,,,800.0,
MinHash,0.526316,0.00964912,,,28800.0,4.47e-06,,,900.0,
MinHash,0.526316,0.00931579,,,32000.0,4.996e-06,,,1000.0,
MinHash,0.526316,0.000861244,,,35200.0,5.48e-06,,,1100.0,
MinHash,0.526316,0.00714912,,,38400.0,5.885e-06,,,1200.0,
MinHash,0.526316,0.00477733,,,41600.0,6.455e-06,,,1300.0,
MinHash,0.526316,0.00274436,,,44800.0,6.85e-06,,,1400.0,
MinHash,0.526316,0.00501754,,,48000.0,7.516e-06,,,1500.0,
MinHash,0.526316,0.0194408,,,51200.0,8.014e-06,,,1600.0,
MinHash,0.526316,0.0127864,,,54400.0,8.407e-06,,,1700.0,
MinHash,0.526316,0.00909357,,,57600.0,9.047e-06,,,1800.0,
MinHash,0.526316,0.00789474,,,60800.0,9.142e-06,,,1900.0,
MinHash,0.526316,0.00268421,,,64000.0,9.809e-06,,,2000.0,
