method,jaccard_similarity,error_minhash,error_cms,cms_depth,size_minhash,time_minhash,size_cms,time_cms,minhash_depth,cms_width
CountMinSketch,0.9916267942583732,,0.0011918771958457,2.0,,,124.0,1.1e-05,,25.0
CountMinSketch,0.9916267942583732,,0.0005957603333108,2.0,,,144.0,1.9e-05,,50.0
CountMinSketch,0.9916267942583732,,0.0005957603333108,2.0,,,169.0,3.7e-05,,100.0
CountMinSketch,0.9916267942583732,,0.0,2.0,,,202.0,5.6e-05,,150.0
CountMinSketch,0.9916267942583732,,0.0005957603333108,2.0,,,219.0,7.6e-05,,200.0
CountMinSketch,0.9916267942583732,,0.0,2.0,,,252.0,0.0001,,250.0
CountMinSketch,0.9916267942583732,,0.0,2.0,,,277.0,0.000122,,300.0
CountMinSketch,0.9916267942583732,,0.0,2.0,,,302.0,0.000143,,350.0
CountMinSketch,0.9916267942583732,,0.0,2.0,,,327.0,0.000163,,400.0
CountMinSketch,0.9916267942583732,,0.0,2.0,,,352.0,0.000182,,450.0
CountMinSketch,0.9916267942583732,,0.0,2.0,,,377.0,0.000204,,500.0
CountMinSketch,0.9916267942583732,,0.0,2.0,,,402.0,0.000227,,550.0
CountMinSketch,0.9916267942583732,,0.0,2.0,,,427.0,0.000245,,600.0
CountMinSketch,0.9916267942583732,,0.0005957603333108,2.0,,,444.0,0.000269,,650.0
CountMinSketch,0.9916267942583732,,0.0,2.0,,,477.0,0.00029,,700.0
CountMinSketch,0.9916267942583732,,0.0,2.0,,,502.0,0.000312,,750.0
CountMinSketch,0.9916267942583732,,0.0,2.0,,,527.0,0.000329,,800.0
CountMinSketch,0.9916267942583732,,0.0,2.0,,,552.0,0.000354,,850.0
CountMinSketch,0.9916267942583732,,0.0,2.0,,,577.0,0.000375,,900.0
CountMinSketch,0.9916267942583732,,0.0,2.0,,,602.0,0.000396,,950.0
CountMinSketch,0.9916267942583732,,0.0,2.0,,,627.0,0.000419,,1000.0
MinHash,0.991627,0.0316268,,,1600.0,9.7e-08,,,50.0,
MinHash,0.991627,0.0316268,,,3200.0,1.42e-07,,,100.0,
MinHash,0.991627,0.0216268,,,6400.0,2.14e-07,,,200.0,
MinHash,0.991627,0.00162679,,,9600.0,2.57e-07,,,300.0,
MinHash,0.991627,0.00662679,,,12800.0,3.37e-07,,,400.0,
MinHash,0.991627,0.00362679,,,16000.0,4.13e-07,,,500.0,
MinHash,0.991627,0.00162679,,,19200.0,4.55e-07,,,600.0,
MinHash,0.991627,0.00123035,,,22400.0,5.22e-07,,,700.0,
MinHash,0.991627,0.000873206,,,25600.0,6.1e-07,,,800.0,
MinHash,0.991627,0.000595428,,,28800.0,6.67e-07,,,900.0,
MinHash,0.991627,0.00137321,,,32000.0,7.36e-07,,,1000.0,
MinHash,0.991627,0.00110048,,,35200.0,8.22e-07,,,1100.0,
MinHash,0.991627,0.00253987,,,38400.0,8.98e-07,,,1200.0,
MinHash,0.991627,8.83327e-05,,,41600.0,9.77e-07,,,1300.0,
MinHash,0.991627,0.000198223,,,44800.0,1.051e-06,,,1400.0,
MinHash,0.991627,0.00170654,,,48000.0,1.111e-06,,,1500.0,
MinHash,0.991627,0.00212321,,,51200.0,1.179e-06,,,1600.0,
MinHash,0.991627,0.00131438,,,54400.0,1.273e-06,,,1700.0,
MinHash,0.991627,0.00170654,,,57600.0,1.316e-06,,,1800.0,
MinHash,0.991627,0.000478469,,,60800.0,1.43e-06,,,1900.0,
MinHash,0.991627,0.000873206,,,64000.0,1.503e-06,,,2000.0,
