method,jaccard_similarity,error_minhash,error_cms,cms_depth,size_minhash,time_minhash,size_cms,time_cms,minhash_depth,cms_width
CountMinSketch,0.5317938704474064,,0.3722795782651305,2.0,,,800.0,1.1e-05,,25.0
CountMinSketch,0.5317938704474064,,0.3328266018307932,2.0,,,1600.0,2e-05,,50.0
CountMinSketch,0.5317938704474064,,0.2671991002889213,2.0,,,3200.0,3.8e-05,,100.0
CountMinSketch,0.5317938704474064,,0.227554771744588,2.0,,,4762.0,5.9e-05,,150.0
CountMinSketch,0.5317938704474064,,0.1943134671590223,2.0,,,6267.0,8e-05,,200.0
CountMinSketch,0.5317938704474064,,0.1902772343008636,2.0,,,7836.0,0.000103,,250.0
CountMinSketch,0.5317938704474064,,0.1557295115204199,2.0,,,9262.0,0.000136,,300.0
CountMinSketch,0.5317938704474064,,0.1519500638564382,2.0,,,10500.0,0.000149,,350.0
CountMinSketch,0.5317938704474064,,0.137077239019365,2.0,,,11525.0,0.000167,,400.0
CountMinSketch,0.5317938704474064,,0.1242109021651399,2.0,,,12747.0,0.000194,,450.0
CountMinSketch,0.5317938704474064,,0.1255038240506187,2.0,,,13662.0,0.000212,,500.0
CountMinSketch,0.5317938704474064,,0.1113917768364148,2.0,,,14506.0,0.00024,,550.0
CountMinSketch,0.5317938704474064,,0.1019439057206486,2.0,,,15255.0,0.000253,,600.0
CountMinSketch,0.5317938704474064,,0.0924578287018936,2.0,,,16218.0,0.00029,,650.0
CountMinSketch,0.5317938704474064,,0.0942143303366245,2.0,,,16684.0,0.000309,,700.0
CountMinSketch,0.5317938704474064,,0.0819258326202977,2.0,,,17740.0,0.000322,,750.0
CountMinSketch,0.5317938704474064,,0.0909239998646719,2.0,,,17624.0,0.000344,,800.0
CountMinSketch,0.5317938704474064,,0.0745985796950436,2.0,,,18594.0,0.000366,,850.0
CountMinSketch,0.5317938704474064,,0.0719570739550645,2.0,,,19059.0,0.000386,,900.0
CountMinSketch,0.5317938704474064,,0.0671958495100554,2.0,,,19517.0,0.000407,,950.0
CountMinSketch,0.5317938704474064,,0.0746700925139076,2.0,,,19826.0,0.000438,,1000.0
MinHash,0.531794,0.111794,,,1600.0,3.25e-07,,,50.0,
MinHash,0.531794,0.0817939,,,3200.0,5.53e-07,,,100.0,
MinHash,0.531794,0.0267939,,,6400.0,1.067e-06,,,200.0,
MinHash,0.531794,0.0048728,,,9600.0,1.51e-06,,,300.0,
MinHash,0.531794,0.0142939,,,12800.0,1.953e-06,,,400.0,
MinHash,0.531794,0.0317939,,,16000.0,2.6e-06,,,500.0,
MinHash,0.531794,0.0234605,,,19200.0,3.143e-06,,,600.0,
MinHash,0.531794,0.0403653,,,22400.0,3.485e-06,,,700.0,
MinHash,0.531794,0.0305439,,,25600.0,4.147e-06,,,800.0,
MinHash,0.531794,0.0351272,,,28800.0,4.688e-06,,,900.0,
MinHash,0.531794,0.0107939,,,32000.0,4.916e-06,,,1000.0,
MinHash,0.531794,0.0290666,,,35200.0,5.585e-06,,,1100.0,
MinHash,0.531794,0.00596054,,,38400.0,5.994e-06,,,1200.0,
MinHash,0.531794,0.0241016,,,41600.0,6.502e-06,,,1300.0,
MinHash,0.531794,0.0132224,,,44800.0,6.85e-06,,,1400.0,
MinHash,0.531794,0.0224605,,,48000.0,7.622e-06,,,1500.0,
MinHash,0.531794,0.0167939,,,51200.0,7.987e-06,,,1600.0,
MinHash,0.531794,0.0188527,,,54400.0,8.186e-06,,,1700.0,
MinHash,0.531794,0.0251272,,,57600.0,8.704e-06,,,1800.0,
MinHash,0.531794,0.0123202,,,60800.0,9.154e-06,,,1900.0,
MinHash,0.531794,0.0187939,,,64000.0,9.969e-06,,,2000.0,
