method,jaccard_similarity,error_minhash,error_cms,cms_depth,size_minhash,time_minhash,size_cms,time_cms,minhash_depth,cms_width
CountMinSketch,0.5163002274450341,,0.0017263380198615,2.0,,,179.0,1.1e-05,,25.0
CountMinSketch,0.5163002274450341,,0.0017263380198615,2.0,,,199.0,1.9e-05,,50.0
CountMinSketch,0.5163002274450341,,0.0017263380198615,2.0,,,248.0,3.6e-05,,100.0
CountMinSketch,0.5163002274450341,,0.0017263380198615,2.0,,,297.0,5.6e-05,,150.0
CountMinSketch,0.5163002274450341,,0.0017263380198615,2.0,,,305.0,7.7e-05,,200.0
CountMinSketch,0.5163002274450341,,0.0,2.0,,,354.0,9.7e-05,,250.0
CountMinSketch,0.5163002274450341,,0.0017263380198615,2.0,,,371.0,0.000119,,300.0
CountMinSketch,0.5163002274450341,,0.0,2.0,,,404.0,0.00014,,350.0
CountMinSketch,0.5163002274450341,,0.0,2.0,,,421.0,0.000161,,400.0
CountMinSketch,0.5163002274450341,,0.0,2.0,,,462.0,0.000184,,450.0
CountMinSketch,0.5163002274450341,,0.0,2.0,,,487.0,0.000206,,500.0
CountMinSketch,0.5163002274450341,,0.0,2.0,,,512.0,0.000227,,550.0
CountMinSketch,0.5163002274450341,,0.0017263380198615,2.0,,,521.0,0.000246,,600.0
CountMinSketch,0.5163002274450341,,0.0,2.0,,,547.0,0.000268,,650.0
CountMinSketch,0.5163002274450341,,0.0,2.0,,,587.0,0.000289,,700.0
CountMinSketch,0.5163002274450341,,0.0,2.0,,,612.0,0.000309,,750.0
CountMinSketch,0.5163002274450341,,0.0,2.0,,,621.0,0.000375,,800.0
CountMinSketch,0.5163002274450341,,0.0,2.0,,,647.0,0.000354,,850.0
CountMinSketch,0.5163002274450341,,0.0,2.0,,,687.0,0.000371,,900.0
CountMinSketch,0.5163002274450341,,0.0,2.0,,,712.0,0.000399,,950.0
CountMinSketch,0.5163002274450341,,0.0,2.0,,,737.0,0.00042,,1000.0
MinHash,0.5163,0.1637,,,1600.0,2.99e-07,,,50.0,
MinHash,0.5163,0.0736998,,,3200.0,4.57e-07,,,100.0,
MinHash,0.5163,0.1137,,,6400.0,9.76e-07,,,200.0,
MinHash,0.5163,0.140366,,,9600.0,1.342e-06,,,300.0,
MinHash,0.5163,0.1462,,,12800.0,1.643e-06,,,400.0,
MinHash,0.5163,0.1737,,,16000.0,1.844e-06,,,500.0,
MinHash,0.5163,0.162033,,,19200.0,2.421e-06,,,600.0,
MinHash,0.5163,0.150843,,,22400.0,2.875e-06,,,700.0,
MinHash,0.5163,0.15745,,,25600.0,3.032e-06,,,800.0,
MinHash,0.5163,0.124811,,,28800.0,3.879e-06,,,900.0,
MinHash,0.5163,0.1537,,,32000.0,4.024e-06,,,1000.0,
MinHash,0.5163,0.140972,,,35200.0,4.448e-06,,,1100.0,
MinHash,0.5163,0.155366,,,38400.0,5.06e-06,,,1200.0,
MinHash,0.5163,0.156007,,,41600.0,5.01e-06,,,1300.0,
MinHash,0.5163,0.154414,,,44800.0,5.828e-06,,,1400.0,
MinHash,0.5163,0.1477,,,48000.0,6.078e-06,,,1500.0,
MinHash,0.5163,0.150575,,,51200.0,6.474e-06,,,1600.0,
MinHash,0.5163,0.157229,,,54400.0,6.785e-06,,,1700.0,
MinHash,0.5163,0.142033,,,57600.0,7.671e-06,,,1800.0,
MinHash,0.5163,0.155279,,,60800.0,7.735e-06,,,1900.0,
MinHash,0.5163,0.1537,,,64000.0,8.169e-06,,,2000.0,
