method,jaccard_similarity,error_minhash,error_cms,cms_depth,size_minhash,time_minhash,size_cms,time_cms,minhash_depth,cms_width
CountMinSketch,0.8125,,0.0287698412698412,2.0,,,722.0,1.6e-05,,25.0
CountMinSketch,0.8125,,0.014271653543307,2.0,,,1128.0,2.4e-05,,50.0
CountMinSketch,0.8125,,0.014271653543307,2.0,,,1429.0,4.6e-05,,100.0
CountMinSketch,0.8125,,0.014271653543307,2.0,,,1635.0,6.8e-05,,150.0
CountMinSketch,0.8125,,0.0,2.0,,,1684.0,9.2e-05,,200.0
CountMinSketch,0.8125,,0.0,2.0,,,1795.0,0.000113,,250.0
CountMinSketch,0.8125,,0.014271653543307,2.0,,,1805.0,0.000139,,300.0
CountMinSketch,0.8125,,0.0,2.0,,,1869.0,0.000163,,350.0
CountMinSketch,0.8125,,0.0,2.0,,,1918.0,0.00019,,400.0
CountMinSketch,0.8125,,0.0,2.0,,,1958.0,0.000207,,450.0
CountMinSketch,0.8125,,0.0,2.0,,,1968.0,0.000278,,500.0
CountMinSketch,0.8125,,0.0,2.0,,,2079.0,0.000256,,550.0
CountMinSketch,0.8125,,0.0,2.0,,,2033.0,0.000278,,600.0
CountMinSketch,0.8125,,0.0,2.0,,,2114.0,0.000292,,650.0
CountMinSketch,0.8125,,0.0,2.0,,,2131.0,0.000311,,700.0
CountMinSketch,0.8125,,0.0,2.0,,,2132.0,0.000321,,750.0
CountMinSketch,0.8125,,0.0,2.0,,,2165.0,0.000346,,800.0
CountMinSketch,0.8125,,0.0,2.0,,,2166.0,0.000364,,850.0
CountMinSketch,0.8125,,0.0,2.0,,,2207.0,0.000373,,900.0
CountMinSketch,0.8125,,0.0,2.0,,,2295.0,0.000398,,950.0
CountMinSketch,0.8125,,0.0,2.0,,,2288.0,0.000417,,1000.0
MinHash,0.8125,0.0525,,,1600.0,1.91e-07,,,50.0,
MinHash,0.8125,0.0825,,,3200.0,3.94e-07,,,100.0,
MinHash,0.8125,0.0675,,,6400.0,7.29e-07,,,200.0,
MinHash,0.8125,0.0558333,,,9600.0,1.063e-06,,,300.0,
MinHash,0.8125,0.0525,,,12800.0,1.35e-06,,,400.0,
MinHash,0.8125,0.0145,,,16000.0,1.393e-06,,,500.0,
MinHash,0.8125,0.0375,,,19200.0,1.782e-06,,,600.0,
MinHash,0.8125,0.0182143,,,22400.0,1.891e-06,,,700.0,
MinHash,0.8125,0.0125,,,25600.0,2.261e-06,,,800.0,
MinHash,0.8125,0.0191667,,,28800.0,2.499e-06,,,900.0,
MinHash,0.8125,0.0175,,,32000.0,2.848e-06,,,1000.0,
MinHash,0.8125,0.0215909,,,35200.0,3.07e-06,,,1100.0,
MinHash,0.8125,0.0191667,,,38400.0,3.486e-06,,,1200.0,
MinHash,0.8125,0.0178846,,,41600.0,3.8e-06,,,1300.0,
MinHash,0.8125,0.0182143,,,44800.0,4.169e-06,,,1400.0,
MinHash,0.8125,0.0165,,,48000.0,4.269e-06,,,1500.0,
MinHash,0.8125,0.02,,,51200.0,4.601e-06,,,1600.0,
MinHash,0.8125,0.0230882,,,54400.0,5.101e-06,,,1700.0,
MinHash,0.8125,0.0113889,,,57600.0,5.089e-06,,,1800.0,
MinHash,0.8125,0.00565789,,,60800.0,5.168e-06,,,1900.0,
MinHash,0.8125,0.0205,,,64000.0,5.761e-06,,,2000.0,
