method,jaccard_similarity,error_minhash,error_cms,cms_depth,size_minhash,time_minhash,size_cms,time_cms,minhash_depth,cms_width
CountMinSketch,0.8571428571428571,,0.0,2.0,,,800.0,1.1e-05,,25.0
CountMinSketch,0.8571428571428571,,0.0,2.0,,,1578.0,2e-05,,50.0
CountMinSketch,0.8571428571428571,,0.0,2.0,,,2610.0,3.8e-05,,100.0
CountMinSketch,0.8571428571428571,,0.0,2.0,,,3392.0,5.7e-05,,150.0
CountMinSketch,0.8571428571428571,,0.0,2.0,,,3778.0,7.8e-05,,200.0
CountMinSketch,0.8571428571428571,,0.0,2.0,,,4174.0,0.00011,,250.0
CountMinSketch,0.8571428571428571,,0.0,2.0,,,4309.0,0.00012,,300.0
CountMinSketch,0.8571428571428571,,0.0,2.0,,,4751.0,0.00014,,350.0
CountMinSketch,0.8571428571428571,,0.0,2.0,,,4666.0,0.000161,,400.0
CountMinSketch,0.8571428571428571,,0.0,2.0,,,4998.0,0.000183,,450.0
CountMinSketch,0.8571428571428571,,0.0,2.0,,,4913.0,0.000212,,500.0
CountMinSketch,0.8571428571428571,,0.0,2.0,,,5103.0,0.000238,,550.0
CountMinSketch,0.8571428571428571,,0.0,2.0,,,5128.0,0.000248,,600.0
CountMinSketch,0.8571428571428571,,0.0,2.0,,,5256.0,0.000269,,650.0
CountMinSketch,0.8571428571428571,,0.0,2.0,,,5360.0,0.00029,,700.0
CountMinSketch,0.8571428571428571,,0.0,2.0,,,5479.0,0.000314,,750.0
CountMinSketch,0.8571428571428571,,0.0,2.0,,,5473.0,0.000336,,800.0
CountMinSketch,0.8571428571428571,,0.0,2.0,,,5529.0,0.000368,,850.0
CountMinSketch,0.8571428571428571,,0.0,2.0,,,5625.0,0.000377,,900.0
CountMinSketch,0.8571428571428571,,0.0,2.0,,,5603.0,0.000393,,950.0
CountMinSketch,0.8571428571428571,,0.0,2.0,,,5509.0,0.000417,,1000.0
MinHash,0.857143,0.137143,,,1600.0,2.12e-07,,,50.0,
MinHash,0.857143,0.0971429,,,3200.0,3.45e-07,,,100.0,
MinHash,0.857143,0.0321429,,,6400.0,5.34e-07,,,200.0,
MinHash,0.857143,0.0171429,,,9600.0,8.01e-07,,,300.0,
MinHash,0.857143,0.0121429,,,12800.0,8.9e-07,,,400.0,
MinHash,0.857143,0.00514286,,,16000.0,1.138e-06,,,500.0,
MinHash,0.857143,0.00547619,,,19200.0,1.322e-06,,,600.0,
MinHash,0.857143,0.00571429,,,22400.0,1.589e-06,,,700.0,
MinHash,0.857143,0.0121429,,,25600.0,1.846e-06,,,800.0,
MinHash,0.857143,0.00380952,,,28800.0,2.012e-06,,,900.0,
MinHash,0.857143,0.0101429,,,32000.0,2.318e-06,,,1000.0,
MinHash,0.857143,0.00350649,,,35200.0,2.511e-06,,,1100.0,
MinHash,0.857143,0.00797619,,,38400.0,2.688e-06,,,1200.0,
MinHash,0.857143,0.00362637,,,41600.0,2.862e-06,,,1300.0,
MinHash,0.857143,0.00285714,,,44800.0,3.043e-06,,,1400.0,
MinHash,0.857143,0.000857143,,,48000.0,3.455e-06,,,1500.0,
MinHash,0.857143,0.00839286,,,51200.0,3.635e-06,,,1600.0,
MinHash,0.857143,0.00831933,,,54400.0,3.902e-06,,,1700.0,
MinHash,0.857143,0.00880952,,,57600.0,4.072e-06,,,1800.0,
MinHash,0.857143,0.000827068,,,60800.0,4.233e-06,,,1900.0,
MinHash,0.857143,0.00164286,,,64000.0,7.542e-06,,,2000.0,
