method,jaccard_similarity,error_minhash,error_cms,cms_depth,size_minhash,time_minhash,size_cms,time_cms,minhash_depth,cms_width
CountMinSketch,0.5082956259426847,,0.0254467053456588,2.0,,,431.0,1.1e-05,,25.0
CountMinSketch,0.5082956259426847,,0.0114612129630903,2.0,,,789.0,1.9e-05,,50.0
CountMinSketch,0.5082956259426847,,0.0068558892088304,2.0,,,1264.0,3.8e-05,,100.0
CountMinSketch,0.5082956259426847,,0.0005689534613138,2.0,,,1556.0,5.8e-05,,150.0
CountMinSketch,0.5082956259426847,,0.0034201714873983,2.0,,,1700.0,8e-05,,200.0
CountMinSketch,0.5082956259426847,,0.0028490661615842,2.0,,,1842.0,0.000103,,250.0
CountMinSketch,0.5082956259426847,,0.0,2.0,,,1931.0,0.000126,,300.0
CountMinSketch,0.5082956259426847,,0.0,2.0,,,1963.0,0.000147,,350.0
CountMinSketch,0.5082956259426847,,0.0011383363214662,2.0,,,2044.0,0.000168,,400.0
CountMinSketch,0.5082956259426847,,0.0,2.0,,,2115.0,0.000188,,450.0
CountMinSketch,0.5082956259426847,,0.0017081490667527,2.0,,,2196.0,0.000207,,500.0
CountMinSketch,0.5082956259426847,,0.0,2.0,,,2221.0,0.000229,,550.0
CountMinSketch,0.5082956259426847,,0.0,2.0,,,2254.0,0.00025,,600.0
CountMinSketch,0.5082956259426847,,0.0011383363214662,2.0,,,2334.0,0.000271,,650.0
CountMinSketch,0.5082956259426847,,0.0,2.0,,,2312.0,0.000295,,700.0
CountMinSketch,0.5082956259426847,,0.0005689534613138,2.0,,,2360.0,0.000314,,750.0
CountMinSketch,0.5082956259426847,,0.0,2.0,,,2433.0,0.000335,,800.0
CountMinSketch,0.5082956259426847,,0.0005689534613138,2.0,,,2441.0,0.00036,,850.0
CountMinSketch,0.5082956259426847,,0.0,2.0,,,2451.0,0.00038,,900.0
CountMinSketch,0.5082956259426847,,0.0022783921842034,2.0,,,2539.0,0.000397,,950.0
CountMinSketch,0.5082956259426847,,0.0011383363214662,2.0,,,2548.0,0.000424,,1000.0
MinHash,0.508296,0.151704,,,1600.0,2.63e-07,,,50.0,
MinHash,0.508296,0.151704,,,3200.0,4.02e-07,,,100.0,
MinHash,0.508296,0.161704,,,6400.0,9.1e-07,,,200.0,
MinHash,0.508296,0.161704,,,9600.0,1.226e-06,,,300.0,
MinHash,0.508296,0.136704,,,12800.0,1.84e-06,,,400.0,
MinHash,0.508296,0.115704,,,16000.0,2.348e-06,,,500.0,
MinHash,0.508296,0.145038,,,19200.0,2.558e-06,,,600.0,
MinHash,0.508296,0.138847,,,22400.0,3.018e-06,,,700.0,
MinHash,0.508296,0.147954,,,25600.0,3.397e-06,,,800.0,
MinHash,0.508296,0.146149,,,28800.0,3.773e-06,,,900.0,
MinHash,0.508296,0.134704,,,32000.0,4.389e-06,,,1000.0,
MinHash,0.508296,0.110795,,,35200.0,4.854e-06,,,1100.0,
MinHash,0.508296,0.143371,,,38400.0,5.024e-06,,,1200.0,
MinHash,0.508296,0.13632,,,41600.0,5.621e-06,,,1300.0,
MinHash,0.508296,0.145276,,,44800.0,5.897e-06,,,1400.0,
MinHash,0.508296,0.144371,,,48000.0,6.255e-06,,,1500.0,
MinHash,0.508296,0.147329,,,51200.0,6.813e-06,,,1600.0,
MinHash,0.508296,0.153469,,,54400.0,7.186e-06,,,1700.0,
MinHash,0.508296,0.145593,,,57600.0,7.859e-06,,,1800.0,
MinHash,0.508296,0.146441,,,60800.0,7.962e-06,,,1900.0,
MinHash,0.508296,0.155204,,,64000.0,8.016e-06,,,2000.0,
