method,minhash_depth,cms_width,cms_depth,size_minhash,size_cms,time_minhash,time_cms,error_minhash,error_cms,jaccard_similarity
MinHash,50.0,,,200.0,,0.000010,,0.03630022744503414,,0.5163002274450341
MinHash,100.0,,,400.0,,0.000017,,0.06369977255496584,,0.5163002274450341
MinHash,200.0,,,800.0,,0.000035,,0.03869977255496593,,0.5163002274450341
MinHash,300.0,,,1200.0,,0.000054,,0.017033105888299205,,0.5163002274450341
MinHash,400.0,,,1600.0,,0.000069,,0.02619977255496586,,0.5163002274450341
MinHash,500.0,,,2000.0,,0.000093,,0.021699772554965913,,0.5163002274450341
MinHash,600.0,,,2400.0,,0.000109,,0.01869977255496591,,0.5163002274450341
MinHash,700.0,,,2800.0,,0.000129,,0.016556915412108686,,0.5163002274450341
MinHash,800.0,,,3200.0,,0.000147,,0.016199772554965852,,0.5163002274450341
MinHash,900.0,,,3600.0,,0.000167,,0.005921994777188133,,0.5163002274450341
MinHash,1000.0,,,4000.0,,0.000186,,0.0076997725549659,,0.5163002274450341
MinHash,1100.0,,,4400.0,,0.000206,,0.010063408918602246,,0.5163002274450341
MinHash,1200.0,,,4800.0,,0.000221,,0.008699772554965901,,0.5163002274450341
MinHash,1300.0,,,5200.0,,0.000243,,0.0036997725549658966,,0.5163002274450341
MinHash,1400.0,,,5600.0,,0.000265,,0.0008426296978230052,,0.5163002274450341
MinHash,1500.0,,,6000.0,,0.000282,,0.0016997725549658949,,0.5163002274450341
MinHash,1600.0,,,6400.0,,0.000302,,0.0019252274450340945,,0.5163002274450341
MinHash,1700.0,,,6800.0,,0.000320,,0.0036997725549658966,,0.5163002274450341
MinHash,1800.0,,,7200.0,,0.000340,,0.004810883666076959,,0.5163002274450341
MinHash,1900.0,,,7600.0,,0.000360,,0.006331351502334326,,0.5163002274450341
MinHash,2000.0,,,8000.0,,0.000376,,0.0041997725549658416,,0.5163002274450341
CountMinSketch,,25.0,2.0,,53.0,,0.000010,,0.0017263380198615508,0.5163002274450341
CountMinSketch,,50.0,2.0,,63.0,,0.000019,,0.0017263380198615508,0.5163002274450341
CountMinSketch,,100.0,2.0,,84.0,,0.000036,,0.0017263380198615508,0.5163002274450341
CountMinSketch,,150.0,2.0,,104.0,,0.000056,,0.0017263380198615508,0.5163002274450341
CountMinSketch,,200.0,2.0,,112.0,,0.000077,,0.0017263380198615508,0.5163002274450341
CountMinSketch,,250.0,2.0,,129.0,,0.000098,,0.0,0.5163002274450341
CountMinSketch,,300.0,2.0,,141.0,,0.000120,,0.0017263380198615508,0.5163002274450341
CountMinSketch,,350.0,2.0,,154.0,,0.000144,,0.0,0.5163002274450341
CountMinSketch,,400.0,2.0,,166.0,,0.000163,,0.0,0.5163002274450341
CountMinSketch,,450.0,2.0,,183.0,,0.000182,,0.0,0.5163002274450341
CountMinSketch,,500.0,2.0,,195.0,,0.000207,,0.0,0.5163002274450341
CountMinSketch,,550.0,2.0,,208.0,,0.000226,,0.0,0.5163002274450341
CountMinSketch,,600.0,2.0,,216.0,,0.000249,,0.0017263380198615508,0.5163002274450341
CountMinSketch,,650.0,2.0,,229.0,,0.000269,,0.0,0.5163002274450341
CountMinSketch,,700.0,2.0,,245.0,,0.000292,,0.0,0.5163002274450341
CountMinSketch,,750.0,2.0,,258.0,,0.000310,,0.0,0.5163002274450341
CountMinSketch,,800.0,2.0,,266.0,,0.000334,,0.0,0.5163002274450341
CountMinSketch,,850.0,2.0,,279.0,,0.000357,,0.0,0.5163002274450341
CountMinSketch,,900.0,2.0,,295.0,,0.000374,,0.0,0.5163002274450341
CountMinSketch,,950.0,2.0,,308.0,,0.000396,,0.0,0.5163002274450341
CountMinSketch,,1000.0,2.0,,320.0,,0.000414,,0.0,0.5163002274450341
