method,minhash_depth,cms_width,cms_depth,size_minhash,size_cms,time_minhash,time_cms,error_minhash,error_cms,jaccard_similarity
MinHash,50.0,,,200.0,,0.000010,,0.07043478260869562,,0.6304347826086957
MinHash,100.0,,,400.0,,0.000019,,0.02043478260869569,,0.6304347826086957
MinHash,200.0,,,800.0,,0.000033,,0.05543478260869572,,0.6304347826086957
MinHash,300.0,,,1200.0,,0.000051,,0.04043478260869571,,0.6304347826086957
MinHash,400.0,,,1600.0,,0.000068,,0.042934782608695654,,0.6304347826086957
MinHash,500.0,,,2000.0,,0.000091,,0.05643478260869572,,0.6304347826086957
MinHash,600.0,,,2400.0,,0.000107,,0.04043478260869571,,0.6304347826086957
MinHash,700.0,,,2800.0,,0.000127,,0.03900621118012426,,0.6304347826086957
MinHash,800.0,,,3200.0,,0.000149,,0.0354347826086957,,0.6304347826086957
MinHash,900.0,,,3600.0,,0.000166,,0.03487922705314017,,0.6304347826086957
MinHash,1000.0,,,4000.0,,0.000186,,0.029434782608695698,,0.6304347826086957
MinHash,1100.0,,,4400.0,,0.000207,,0.01952569169960472,,0.6304347826086957
MinHash,1200.0,,,4800.0,,0.000224,,0.012934782608695627,,0.6304347826086957
MinHash,1300.0,,,5200.0,,0.000247,,0.009665551839464936,,0.6304347826086957
MinHash,1400.0,,,5600.0,,0.000263,,0.01043478260869568,,0.6304347826086957
MinHash,1500.0,,,6000.0,,0.000283,,0.01043478260869568,,0.6304347826086957
MinHash,1600.0,,,6400.0,,0.000306,,0.01230978260869564,,0.6304347826086957
MinHash,1700.0,,,6800.0,,0.000324,,0.01455242966751924,,0.6304347826086957
MinHash,1800.0,,,7200.0,,0.000342,,0.0071014492753623815,,0.6304347826086957
MinHash,1900.0,,,7600.0,,0.000367,,0.005171624713958822,,0.6304347826086957
MinHash,2000.0,,,8000.0,,0.000383,,0.0034347826086956745,,0.6304347826086957
CountMinSketch,,25.0,2.0,,197.0,,0.000011,,0.048669695003244584,0.6304347826086957
CountMinSketch,,50.0,2.0,,377.0,,0.000018,,0.04139184277830121,0.6304347826086957
CountMinSketch,,100.0,2.0,,618.0,,0.000036,,0.029061222308329526,0.6304347826086957
CountMinSketch,,150.0,2.0,,778.0,,0.000057,,0.01993196555756349,0.6304347826086957
CountMinSketch,,200.0,2.0,,891.0,,0.000079,,0.018923800164670213,0.6304347826086957
CountMinSketch,,250.0,2.0,,943.0,,0.000102,,0.01190098381466198,0.6304347826086957
CountMinSketch,,300.0,2.0,,982.0,,0.000124,,0.014903425800810721,0.6304347826086957
CountMinSketch,,350.0,2.0,,1061.0,,0.000145,,0.01190098381466198,0.6304347826086957
CountMinSketch,,400.0,2.0,,1085.0,,0.000166,,0.012900579533726697,0.6304347826086957
CountMinSketch,,450.0,2.0,,1089.0,,0.000188,,0.009905436103333498,0.6304347826086957
CountMinSketch,,500.0,2.0,,1137.0,,0.000211,,0.006921190708466196,0.6304347826086957
CountMinSketch,,550.0,2.0,,1145.0,,0.000230,,0.00791473195441117,0.6304347826086957
CountMinSketch,,600.0,2.0,,1181.0,,0.000254,,0.005928853754940677,0.6304347826086957
CountMinSketch,,650.0,2.0,,1213.0,,0.000273,,0.004937718905538069,0.6304347826086957
CountMinSketch,,700.0,2.0,,1237.0,,0.000295,,0.010902603409541411,0.6304347826086957
CountMinSketch,,750.0,2.0,,1254.0,,0.000318,,0.003947783977260699,0.6304347826086957
CountMinSketch,,800.0,2.0,,1282.0,,0.000339,,0.006921190708466196,0.6304347826086957
CountMinSketch,,850.0,2.0,,1290.0,,0.000360,,0.00791473195441117,0.6304347826086957
CountMinSketch,,900.0,2.0,,1299.0,,0.000380,,0.006921190708466196,0.6304347826086957
CountMinSketch,,950.0,2.0,,1327.0,,0.000401,,0.005928853754940677,0.6304347826086957
CountMinSketch,,1000.0,2.0,,1359.0,,0.000425,,0.005928853754940677,0.6304347826086957
