method,minhash_depth,cms_width,cms_depth,size_minhash,size_cms,time_minhash,time_cms,error_minhash,error_cms,jaccard_similarity
MinHash,50.0,,,200.0,,0.000010,,0.012386587771203161,,0.9723865877712031
MinHash,100.0,,,400.0,,0.000018,,0.0023865877712031525,,0.9723865877712031
MinHash,200.0,,,800.0,,0.000033,,0.007386587771203157,,0.9723865877712031
MinHash,300.0,,,1200.0,,0.000053,,0.005719921104536452,,0.9723865877712031
MinHash,400.0,,,1600.0,,0.000072,,0.0023865877712031525,,0.9723865877712031
MinHash,500.0,,,2000.0,,0.000091,,0.0023865877712031525,,0.9723865877712031
MinHash,600.0,,,2400.0,,0.000110,,0.0009467455621302578,,0.9723865877712031
MinHash,700.0,,,2800.0,,0.000131,,0.0018991265145111846,,0.9723865877712031
MinHash,800.0,,,3200.0,,0.000150,,0.002613412228796852,,0.9723865877712031
MinHash,900.0,,,3600.0,,0.000167,,0.0012754766600919787,,0.9723865877712031
MinHash,1000.0,,,4000.0,,0.000201,,0.0013865877712031516,,0.9723865877712031
MinHash,1100.0,,,4400.0,,0.000207,,0.0012497758651605073,,0.9723865877712031
MinHash,1200.0,,,4800.0,,0.000234,,0.00011341222879690527,,0.9723865877712031
MinHash,1300.0,,,5200.0,,0.000247,,0.0008481262327415529,,0.9723865877712031
MinHash,1400.0,,,5600.0,,0.000267,,0.0002437306283459284,,0.9723865877712031
MinHash,1500.0,,,6000.0,,0.000287,,0.0003865877712031507,,0.9723865877712031
MinHash,1600.0,,,6400.0,,0.000305,,0.00011341222879690527,,0.9723865877712031
MinHash,1700.0,,,6800.0,,0.000333,,0.0011428239935027396,,0.9723865877712031
MinHash,1800.0,,,7200.0,,0.000344,,0.0009467455621302578,,0.9723865877712031
MinHash,1900.0,,,7600.0,,0.000374,,0.0012976227551126929,,0.9723865877712031
MinHash,2000.0,,,8000.0,,0.000384,,0.0011134122287969062,,0.9723865877712031
CountMinSketch,,25.0,2.0,,38.0,,0.000011,,0.0,0.9723865877712031
CountMinSketch,,50.0,2.0,,44.0,,0.000018,,0.0,0.9723865877712031
CountMinSketch,,100.0,2.0,,56.0,,0.000036,,0.0,0.9723865877712031
CountMinSketch,,150.0,2.0,,69.0,,0.000055,,0.0,0.9723865877712031
CountMinSketch,,200.0,2.0,,81.0,,0.000077,,0.0,0.9723865877712031
CountMinSketch,,250.0,2.0,,94.0,,0.000098,,0.0,0.9723865877712031
CountMinSketch,,300.0,2.0,,106.0,,0.000119,,0.0,0.9723865877712031
CountMinSketch,,350.0,2.0,,119.0,,0.000142,,0.0,0.9723865877712031
CountMinSketch,,400.0,2.0,,131.0,,0.000161,,0.0,0.9723865877712031
CountMinSketch,,450.0,2.0,,144.0,,0.000184,,0.0,0.9723865877712031
CountMinSketch,,500.0,2.0,,156.0,,0.000217,,0.0,0.9723865877712031
CountMinSketch,,550.0,2.0,,169.0,,0.000236,,0.0,0.9723865877712031
CountMinSketch,,600.0,2.0,,181.0,,0.000245,,0.0,0.9723865877712031
CountMinSketch,,650.0,2.0,,194.0,,0.000266,,0.0,0.9723865877712031
CountMinSketch,,700.0,2.0,,206.0,,0.000288,,0.0,0.9723865877712031
CountMinSketch,,750.0,2.0,,219.0,,0.000312,,0.0,0.9723865877712031
CountMinSketch,,800.0,2.0,,231.0,,0.000329,,0.0,0.9723865877712031
CountMinSketch,,850.0,2.0,,244.0,,0.000352,,0.0,0.9723865877712031
CountMinSketch,,900.0,2.0,,256.0,,0.000374,,0.0,0.9723865877712031
CountMinSketch,,950.0,2.0,,269.0,,0.000397,,0.0,0.9723865877712031
CountMinSketch,,1000.0,2.0,,281.0,,0.000413,,0.0,0.9723865877712031
