method,minhash_depth,cms_width,cms_depth,size_minhash,size_cms,time_minhash,time_cms,error_minhash,error_cms,jaccard_similarity
MinHash,50.0,,,200.0,,0.000010,,0.0357142857142857,,0.5357142857142857
MinHash,100.0,,,400.0,,0.000018,,0.055714285714285716,,0.5357142857142857
MinHash,200.0,,,800.0,,0.000033,,0.04571428571428571,,0.5357142857142857
MinHash,300.0,,,1200.0,,0.000050,,0.02238095238095239,,0.5357142857142857
MinHash,400.0,,,1600.0,,0.000070,,0.0357142857142857,,0.5357142857142857
MinHash,500.0,,,2000.0,,0.000093,,0.02571428571428569,,0.5357142857142857
MinHash,600.0,,,2400.0,,0.000107,,0.04238095238095235,,0.5357142857142857
MinHash,700.0,,,2800.0,,0.000125,,0.041428571428571426,,0.5357142857142857
MinHash,800.0,,,3200.0,,0.000145,,0.0382142857142857,,0.5357142857142857
MinHash,900.0,,,3600.0,,0.000164,,0.04238095238095235,,0.5357142857142857
MinHash,1000.0,,,4000.0,,0.000183,,0.0357142857142857,,0.5357142857142857
MinHash,1100.0,,,4400.0,,0.000204,,0.03935064935064936,,0.5357142857142857
MinHash,1200.0,,,4800.0,,0.000223,,0.03321428571428575,,0.5357142857142857
MinHash,1300.0,,,5200.0,,0.000251,,0.03109890109890112,,0.5357142857142857
MinHash,1400.0,,,5600.0,,0.000260,,0.024285714285714244,,0.5357142857142857
MinHash,1500.0,,,6000.0,,0.000279,,0.023047619047618984,,0.5357142857142857
MinHash,1600.0,,,6400.0,,0.000299,,0.02383928571428573,,0.5357142857142857
MinHash,1700.0,,,6800.0,,0.000316,,0.024537815126050355,,0.5357142857142857
MinHash,1800.0,,,7200.0,,0.000337,,0.017936507936507917,,0.5357142857142857
MinHash,1900.0,,,7600.0,,0.000357,,0.009924812030075225,,0.5357142857142857
MinHash,2000.0,,,8000.0,,0.000375,,0.013714285714285679,,0.5357142857142857
CountMinSketch,,25.0,2.0,,45.0,,0.000012,,0.05687830687830686,0.5357142857142857
CountMinSketch,,50.0,2.0,,56.0,,0.000019,,0.04226736566186107,0.5357142857142857
CountMinSketch,,100.0,2.0,,68.0,,0.000036,,0.04226736566186107,0.5357142857142857
CountMinSketch,,150.0,2.0,,84.0,,0.000054,,0.0,0.5357142857142857
CountMinSketch,,200.0,2.0,,93.0,,0.000077,,0.04226736566186107,0.5357142857142857
CountMinSketch,,250.0,2.0,,109.0,,0.000098,,0.0,0.5357142857142857
CountMinSketch,,300.0,2.0,,122.0,,0.000118,,0.0,0.5357142857142857
CountMinSketch,,350.0,2.0,,134.0,,0.000140,,0.0,0.5357142857142857
CountMinSketch,,400.0,2.0,,147.0,,0.000162,,0.0,0.5357142857142857
CountMinSketch,,450.0,2.0,,159.0,,0.000186,,0.0,0.5357142857142857
CountMinSketch,,500.0,2.0,,172.0,,0.000203,,0.0,0.5357142857142857
CountMinSketch,,550.0,2.0,,184.0,,0.000226,,0.0,0.5357142857142857
CountMinSketch,,600.0,2.0,,197.0,,0.000247,,0.0,0.5357142857142857
CountMinSketch,,650.0,2.0,,209.0,,0.000272,,0.0,0.5357142857142857
CountMinSketch,,700.0,2.0,,222.0,,0.000289,,0.0,0.5357142857142857
CountMinSketch,,750.0,2.0,,234.0,,0.000310,,0.0,0.5357142857142857
CountMinSketch,,800.0,2.0,,247.0,,0.000331,,0.0,0.5357142857142857
CountMinSketch,,850.0,2.0,,259.0,,0.000351,,0.0,0.5357142857142857
CountMinSketch,,900.0,2.0,,272.0,,0.000377,,0.0,0.5357142857142857
CountMinSketch,,950.0,2.0,,284.0,,0.000393,,0.0,0.5357142857142857
CountMinSketch,,1000.0,2.0,,297.0,,0.000417,,0.0,0.5357142857142857
