method,minhash_depth,cms_width,cms_depth,size_minhash,size_cms,time_minhash,time_cms,error_minhash,error_cms,jaccard_similarity
MinHash,50.0,,,200.0,,0.000010,,0.036856187290969844,,0.9431438127090301
MinHash,100.0,,,400.0,,0.000017,,0.023143812709030098,,0.9431438127090301
MinHash,200.0,,,800.0,,0.000032,,0.001856187290969813,,0.9431438127090301
MinHash,300.0,,,1200.0,,0.000052,,0.006477146042363491,,0.9431438127090301
MinHash,400.0,,,1600.0,,0.000072,,0.005643812709030138,,0.9431438127090301
MinHash,500.0,,,2000.0,,0.000090,,0.009143812709030086,,0.9431438127090301
MinHash,600.0,,,2400.0,,0.000109,,0.011477146042363495,,0.9431438127090301
MinHash,700.0,,,2800.0,,0.000129,,0.014572384137601535,,0.9431438127090301
MinHash,800.0,,,3200.0,,0.000148,,0.01689381270903012,,0.9431438127090301
MinHash,900.0,,,3600.0,,0.000168,,0.01314381270903009,,0.9431438127090301
MinHash,1000.0,,,4000.0,,0.000188,,0.009143812709030086,,0.9431438127090301
MinHash,1100.0,,,4400.0,,0.000206,,0.007689267254484711,,0.9431438127090301
MinHash,1200.0,,,4800.0,,0.000228,,0.010643812709030143,,0.9431438127090301
MinHash,1300.0,,,5200.0,,0.000250,,0.010836120401337856,,0.9431438127090301
MinHash,1400.0,,,5600.0,,0.000265,,0.008858098423315863,,0.9431438127090301
MinHash,1500.0,,,6000.0,,0.000284,,0.007810479375696788,,0.9431438127090301
MinHash,1600.0,,,6400.0,,0.000308,,0.006268812709030125,,0.9431438127090301
MinHash,1700.0,,,6800.0,,0.000324,,0.006084989179618416,,0.9431438127090301
MinHash,1800.0,,,7200.0,,0.000344,,0.003699368264585723,,0.9431438127090301
MinHash,1900.0,,,7600.0,,0.000366,,0.005249075866924913,,0.9431438127090301
MinHash,2000.0,,,8000.0,,0.000382,,0.0036438127090301364,,0.9431438127090301
CountMinSketch,,25.0,2.0,,111.0,,0.000011,,0.002168687290969862,0.9431438127090301
CountMinSketch,,50.0,2.0,,145.0,,0.000019,,0.002168687290969862,0.9431438127090301
CountMinSketch,,100.0,2.0,,169.0,,0.000036,,0.0010837388804846304,0.9431438127090301
CountMinSketch,,150.0,2.0,,189.0,,0.000056,,0.0010837388804846304,0.9431438127090301
CountMinSketch,,200.0,2.0,,205.0,,0.000077,,0.0,0.9431438127090301
CountMinSketch,,250.0,2.0,,214.0,,0.000099,,0.0,0.9431438127090301
CountMinSketch,,300.0,2.0,,230.0,,0.000120,,0.0,0.9431438127090301
CountMinSketch,,350.0,2.0,,235.0,,0.000141,,0.0010837388804846304,0.9431438127090301
CountMinSketch,,400.0,2.0,,255.0,,0.000164,,0.0,0.9431438127090301
CountMinSketch,,450.0,2.0,,264.0,,0.000186,,0.0010837388804846304,0.9431438127090301
CountMinSketch,,500.0,2.0,,280.0,,0.000206,,0.0,0.9431438127090301
CountMinSketch,,550.0,2.0,,289.0,,0.000228,,0.0010837388804846304,0.9431438127090301
CountMinSketch,,600.0,2.0,,305.0,,0.000250,,0.0,0.9431438127090301
CountMinSketch,,650.0,2.0,,314.0,,0.000270,,0.0,0.9431438127090301
CountMinSketch,,700.0,2.0,,330.0,,0.000289,,0.0,0.9431438127090301
CountMinSketch,,750.0,2.0,,343.0,,0.000314,,0.0,0.9431438127090301
CountMinSketch,,800.0,2.0,,355.0,,0.000340,,0.0,0.9431438127090301
CountMinSketch,,850.0,2.0,,368.0,,0.000356,,0.0,0.9431438127090301
CountMinSketch,,900.0,2.0,,380.0,,0.000376,,0.0,0.9431438127090301
CountMinSketch,,950.0,2.0,,393.0,,0.000393,,0.0,0.9431438127090301
CountMinSketch,,1000.0,2.0,,405.0,,0.000421,,0.0,0.9431438127090301
