method_name,query_file,query_column,query_selectivity,TP,FP,FN,TN,accuracy,precision,recall,f1-score,time,threshold,dataset
cms_earlystopping,6bqn-qdwq.csv,tnc_mode,"high
",2,0,0,59456,1.0,1.0,1.0,1.0,33.814345359802246,0.7,nyc_1000_4
cms_minhash,6bqn-qdwq.csv,tnc_mode,"high
",2,0,0,59456,1.0,1.0,1.0,1.0,2.2445573806762695,0.7,nyc_1000_4
cms_minhash_lsh,6bqn-qdwq.csv,tnc_mode,"high
",2,0,0,59456,1.0,1.0,1.0,1.0,0.008961677551269531,0.7,nyc_1000_4
cms,uu87-uz8m.csv,asc_contact_perp,"high
",70,0,0,59388,1.0,1.0,1.0,1.0,660.1386082172394,0.7,nyc_1000_4
cms_sampling,uu87-uz8m.csv,asc_contact_perp,"high
",70,2,0,59386,0.9999663628107235,0.9722222222222222,1.0,0.9859154929577464,328.1929347515106,0.7,nyc_1000_4
cms_earlystopping,uu87-uz8m.csv,asc_contact_perp,"high
",0,0,70,59388,0.9988226983753238,0.0,0.0,0.0,32.8932728767395,0.7,nyc_1000_4
cms_minhash,uu87-uz8m.csv,asc_contact_perp,"high
",70,0,0,59388,1.0,1.0,1.0,1.0,2.093942165374756,0.7,nyc_1000_4
cms_minhash_lsh,uu87-uz8m.csv,asc_contact_perp,"high
",70,0,0,59388,1.0,1.0,1.0,1.0,0.004523277282714844,0.7,nyc_1000_4
cms,4nft-bihw.csv,tax_year,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,660.381374835968,0.7,nyc_1000_4
cms_sampling,4nft-bihw.csv,tax_year,"high
",1,3,0,59454,0.9999495442160853,0.25,1.0,0.4,328.04834818840027,0.7,nyc_1000_4
cms_earlystopping,4nft-bihw.csv,tax_year,"high
",0,0,1,59457,0.9999831814053618,0.0,0.0,0.0,32.738792181015015,0.7,nyc_1000_4
cms_minhash,4nft-bihw.csv,tax_year,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,2.201106548309326,0.7,nyc_1000_4
cms_minhash_lsh,4nft-bihw.csv,tax_year,"high
",1,0,0,59457,1.0,1.0,1.0,1.0,0.0014302730560302734,0.7,nyc_1000_4
cms,disc.csv,A37 Intimidating and Bullying Behavior  S,"medium
",652,0,0,58806,1.0,1.0,1.0,1.0,659.4641401767731,0.7,nyc_1000_4
cms_sampling,disc.csv,A37 Intimidating and Bullying Behavior  S,"medium
",652,2,0,58804,0.9999663628107235,0.9969418960244648,1.0,0.9984686064318529,328.68448853492737,0.7,nyc_1000_4
cms_earlystopping,disc.csv,A37 Intimidating and Bullying Behavior  S,"medium
",0,0,652,58806,0.9890342762958727,0.0,0.0,0.0,32.91646599769592,0.7,nyc_1000_4
cms_minhash,disc.csv,A37 Intimidating and Bullying Behavior  S,"medium
",652,0,0,58806,1.0,1.0,1.0,1.0,2.2568585872650146,0.7,nyc_1000_4
cms_minhash_lsh,disc.csv,A37 Intimidating and Bullying Behavior  S,"medium
",652,0,0,58806,1.0,1.0,1.0,1.0,0.05244088172912598,0.7,nyc_1000_4
cms,t5qg-w9sq.csv,B31 Scholastic Dishonesty R,"medium
",652,0,0,58806,1.0,1.0,1.0,1.0,659.8418228626251,0.7,nyc_1000_4
cms_sampling,t5qg-w9sq.csv,B31 Scholastic Dishonesty R,"medium
",652,2,0,58804,0.9999663628107235,0.9969418960244648,1.0,0.9984686064318529,328.76421904563904,0.7,nyc_1000_4
cms_earlystopping,t5qg-w9sq.csv,B31 Scholastic Dishonesty R,"medium
",0,0,652,58806,0.9890342762958727,0.0,0.0,0.0,32.88787841796875,0.7,nyc_1000_4
cms_minhash,t5qg-w9sq.csv,B31 Scholastic Dishonesty R,"medium
",652,0,0,58806,1.0,1.0,1.0,1.0,2.248819589614868,0.7,nyc_1000_4
cms_minhash_lsh,t5qg-w9sq.csv,B31 Scholastic Dishonesty R,"medium
",652,0,0,58806,1.0,1.0,1.0,1.0,0.02741694450378418,0.7,nyc_1000_4
cms,naib-xtez.csv,a59_using_weapon_other_than,"medium
",501,0,0,58957,1.0,1.0,1.0,1.0,660.4667809009552,0.7,nyc_1000_4
cms_sampling,naib-xtez.csv,a59_using_weapon_other_than,"medium
",501,1,0,58956,0.9999831814053618,0.99800796812749,1.0,0.9990029910269193,328.76926612854004,0.7,nyc_1000_4
cms_earlystopping,naib-xtez.csv,a59_using_weapon_other_than,"medium
",0,0,501,58957,0.9915738840862458,0.0,0.0,0.0,33.059964656829834,0.7,nyc_1000_4
cms_minhash,naib-xtez.csv,a59_using_weapon_other_than,"medium
",501,1,0,58956,0.9999831814053618,0.99800796812749,1.0,0.9990029910269193,2.2127914428710938,0.7,nyc_1000_4
