method,query file,query column,query selectivity,accuracy,precision,recall,f1 score,time,time dataset,threshold,dataset name
cms_minhash_lsh,disc.csv,A29 Gang Related Behavior R,medium,1.0,1.0,1.0,1.0,0.0250411033630371,4392.064729690552,0.7,nyc
cms,r5p4-2qap.csv,18 PRINCIPAL,medium,1.0,1.0,1.0,1.0,706.5760614871979,4374.838822364807,0.7,nyc
cms_sampling,r5p4-2qap.csv,18 PRINCIPAL,medium,0.9998654761304208,0.9919028340080972,1.0,0.9959349593495934,348.7272963523865,4374.838822364807,0.7,nyc
cms_earlystopping,r5p4-2qap.csv,18 PRINCIPAL,medium,0.9881955304444332,1.0,0.2836734693877551,0.4419713831478537,70.04227137565613,4374.838822364807,0.7,nyc
cms_minhash,r5p4-2qap.csv,18 PRINCIPAL,medium,0.9998991070978156,1.0,0.9938775510204082,0.9969293756397134,0.913609266281128,4374.838822364807,0.7,nyc
cms_minhash_lsh,r5p4-2qap.csv,18 PRINCIPAL,medium,0.9998991070978156,1.0,0.9938775510204082,0.9969293756397134,0.0236556529998779,4374.838822364807,0.7,nyc
cms,g3xg-qtbc.csv,approx_date_closed,high,1.0,1.0,1.0,1.0,705.3077433109283,4120.08328294754,0.7,nyc
cms_sampling,g3xg-qtbc.csv,approx_date_closed,high,1.0,1.0,1.0,1.0,346.9906916618347,4120.08328294754,0.7,nyc
cms_earlystopping,g3xg-qtbc.csv,approx_date_closed,high,1.0,1.0,1.0,1.0,35.41167736053467,4120.08328294754,0.7,nyc
cms_minhash,g3xg-qtbc.csv,approx_date_closed,high,1.0,1.0,1.0,1.0,0.9811029434204102,4120.08328294754,0.7,nyc
cms_minhash_lsh,g3xg-qtbc.csv,approx_date_closed,high,1.0,1.0,1.0,1.0,0.00022554397583,4120.08328294754,0.7,nyc
cms,disc.csv,A52 Group Violence S,medium,1.0,1.0,1.0,1.0,706.1725993156433,4125.319828271866,0.7,nyc
cms_sampling,disc.csv,A52 Group Violence S,medium,1.0,1.0,1.0,1.0,350.30479407310486,4125.319828271866,0.7,nyc
cms_earlystopping,disc.csv,A52 Group Violence S,medium,0.9890363046293028,0.0,0.0,0.0,34.82028150558472,4125.319828271866,0.7,nyc
cms_minhash,disc.csv,A52 Group Violence S,medium,1.0,1.0,1.0,1.0,0.9148075580596924,4125.319828271866,0.7,nyc
cms_minhash_lsh,disc.csv,A52 Group Violence S,medium,1.0,1.0,1.0,1.0,0.025331974029541,4125.319828271866,0.7,nyc
cms,64pu-zyr2.csv,A36 Intimidating and Bullying Behavior R,medium,1.0,1.0,1.0,1.0,704.1607458591461,4154.725582361221,0.7,nyc
cms_sampling,64pu-zyr2.csv,A36 Intimidating and Bullying Behavior R,medium,0.9998991070978156,0.9938524590163934,1.0,0.9969167523124358,348.8865125179291,4154.725582361221,0.7,nyc
cms_earlystopping,64pu-zyr2.csv,A36 Intimidating and Bullying Behavior R,medium,0.9837562427483226,1.0,0.0041237113402061,0.0082135523613963,35.52249526977539,4154.725582361221,0.7,nyc
cms_minhash,64pu-zyr2.csv,A36 Intimidating and Bullying Behavior R,medium,0.9999663690326052,1.0,0.9979381443298968,0.998968008255934,0.8867197036743164,4154.725582361221,0.7,nyc
cms_minhash_lsh,64pu-zyr2.csv,A36 Intimidating and Bullying Behavior R,medium,0.9999663690326052,1.0,0.9979381443298968,0.998968008255934,0.0236859321594238,4154.725582361221,0.7,nyc
cms,kcey-vehy.csv,qsurveyzone_home,high,1.0,1.0,1.0,1.0,709.1609988212585,4138.5102326869965,0.7,nyc
cms_sampling,kcey-vehy.csv,qsurveyzone_home,high,1.0,1.0,1.0,1.0,351.6803410053253,4138.5102326869965,0.7,nyc
cms_earlystopping,kcey-vehy.csv,qsurveyzone_home,high,1.0,1.0,1.0,1.0,35.37280488014221,4138.5102326869965,0.7,nyc
cms_minhash,kcey-vehy.csv,qsurveyzone_home,high,1.0,1.0,1.0,1.0,0.909574031829834,4138.5102326869965,0.7,nyc
