number of columns,signature read time,index creation time,index dump time
1077113,86.73859763145447,266.61109042167664,41.91233420372009
2154226,167.97560858726501,535.8765203952789,85.74686622619629
3231339,242.68782877922058,824.581689119339,149.46666359901428
4308452,334.07184863090515,1069.7218108177185,178.51120042800903
