query,selectivity,time lsh,time linear search
set_102393.csv,low,0.00031447410583496094,0.002245664596557617
set_102484.csv,low,0.00023651123046875,0.002010822296142578
set_3035222.csv,low,0.0002434253692626953,0.0010533332824707031
set_102630.csv,low,0.0002655982971191406,0.0021865367889404297
set_549089.csv,medium,0.00025200843811035156,0.0005838871002197266
set_102394.csv,low,0.0002617835998535156,0.0022134780883789062
set_3948698.csv,low,0.0002665519714355469,0.0013799667358398438
set_1647205.csv,low,0.0002474784851074219,0.0010051727294921875
set_1439401.csv,low,0.00025391578674316406,0.0015215873718261719
set_4378362.csv,low,0.00024247169494628906,0.0013022422790527344
set_3035077.csv,low,0.000247955322265625,0.0011289119720458984
set_1647175.csv,low,0.00023603439331054688,0.001068115234375
set_4378352.csv,low,0.0002238750457763672,0.0012917518615722656
set_4846367.csv,low,0.00023818016052246094,0.0006959438323974609
set_3035261.csv,low,0.0002453327178955078,0.0010609626770019531
set_1650332.csv,low,0.00024890899658203125,0.0021309852600097656
set_1655381.csv,medium,0.00023365020751953125,0.0009403228759765625
set_1082641.csv,medium,0.0002117156982421875,0.0009169578552246094
set_3279341.csv,medium,0.00022673606872558594,0.0006785392761230469
set_3287684.csv,medium,0.00022077560424804688,0.0006659030914306641
set_3225324.csv,medium,0.00022745132446289062,0.0011682510375976562
set_2022878.csv,medium,0.0002129077911376953,0.0002598762512207031
set_2022766.csv,medium,0.00021386146545410156,0.00043463706970214844
set_2757622.csv,medium,0.00021696090698242188,0.00012445449829101562
set_1649665.csv,medium,0.00021409988403320312,0.0007674694061279297
set_1941277.csv,medium,0.00022840499877929688,0.0008299350738525391
set_1466953.csv,medium,0.00020623207092285156,0.00018286705017089844
set_3225313.csv,medium,0.0002193450927734375,0.001192331314086914
set_1302350.csv,medium,0.0002448558807373047,0.0016396045684814453
set_100477.csv,medium,0.00021219253540039062,0.0005438327789306641
set_1237906.csv,high,0.00019168853759765625,4.506111145019531e-05
set_2062632.csv,high,0.0002646446228027344,0.013867616653442383
set_2675679.csv,high,0.000286102294921875,0.012622594833374023
set_1082432.csv,high,0.0002472400665283203,0.0010581016540527344
set_4349463.csv,high,0.00021219253540039062,8.940696716308594e-05
set_4598170.csv,high,0.000225067138671875,0.00036406517028808594
set_1649507.csv,high,0.00021600723266601562,0.0005297660827636719
set_1655666.csv,high,0.00023055076599121094,0.0047228336334228516
set_3798495.csv,high,0.00021195411682128906,6.318092346191406e-05
set_3079718.csv,high,0.0002334117889404297,0.0005929470062255859
set_3826120.csv,high,0.00022101402282714844,0.0001876354217529297
set_4001420.csv,high,0.00020623207092285156,4.2438507080078125e-05
set_4058082.csv,high,0.00020265579223632812,0.00016236305236816406
set_3363156.csv,high,0.00021195411682128906,0.0001270771026611328
set_439649.csv,high,0.0002593994140625,0.0015494823455810547
