query_file,time_ns
6e44-8i2s.csv_larceny_or_other_theft_with_weapon_s,16469144
utpj-74fz.csv_bank_branch_number_of,12413984
ijzq-5wy8.csv_modes_used_june_bus,12211149
r5p4-2qap.csv_18 PRINCIPAL,12155826
naib-xtez.csv_a59_using_weapon_other_than,16878849
disc.csv_A37 Intimidating and Bullying Behavior  S,12163500
2ps2-dsjr.csv__05_principal,12071106
disc.csv_A29 Gang Related Behavior R,16415440
45nu-yrf2.csv_6 EXPULSIONS,12301024
kg6x-kv5b.csv_10 REMOVALS,12020690
i6ky-n2wd.csv__2_superintendent,11978644
9cvd-uyw6.csv_ELL PRINCIPAL,12030680
disc.csv_A52 Group Violence S,11912105
naib-xtez.csv_a40_taking_property_without,16523560
t5qg-w9sq.csv_B31 Scholastic Dishonesty R,16486059
64pu-zyr2.csv_A36 Intimidating and Bullying Behavior R,12007217
naib-xtez.csv_a34_coercion_threats_p,12343537
kcey-vehy.csv_qsurveyzone_home,12341719
g3xg-qtbc.csv_approx_date_closed,12198639
fx4z-5xg2.csv_stop_question_frisk_complaint,16544161
vc9v-wg6y.csv_ell_arabic,12149926
8nqg-ia7v.csv_flag_mc,12272900
iz2q-9x8d.csv_total_est_fee,12102719
jpcp-ic7c.csv_qworktravelcode06,12159369
x5tk-fa54.csv_year_5_estimate,12338091
uu87-uz8m.csv_asc_contact_perp,12153030
268n-a7em.csv_local,12227676
reri-chf8.csv_grade_12,12109010
ek6b-5n74.csv_description_of_code,12210599
4nft-bihw.csv_tax_year,12149256
n84m-kx4j.csv_vehicle_engine_horsepower,16717665
wcm8-aq5w.csv_propane_use_kbtu,16415088
4tys-3tzj.csv_multifamily_housing_number,11995363
njjd-3gve.csv_q21_r4_c2,12315333
utpj-74fz.csv_retail_store_number_of_open,16512983
m8p6-tp4b.csv_yrb_rng,12050305
utpj-74fz.csv_percent_of_electricity_that,16498121
f33j-ecpr.csv_q21_r1_c2,12060129
nbun-wekj.csv_municipally_supplied_potable_1,16460395
yr5p-wjer.csv_stadium_closed_gross_floor,16401266
yr5p-wjer.csv_worship_facility_gross_floor,17313889
njjd-3gve.csv_q20_r7_c4,12169190
wa2y-rh4b.csv_noncity_yr1_plan,12352558
wcm8-aq5w.csv_percent_of_electricity_that,12136140
6e44-8i2s.csv_larceny_or_other_theft_with_weapon_s,16830183
utpj-74fz.csv_bank_branch_number_of,12004710
6bqn-qdwq.csv_tnc_mode,11994438
