method_name,query_file,query_column,query_selectivity,TP,FP,FN,TN,accuracy,precision,recall,f1-score,time,minhash_creation_time,threshold,dataset,width,depth,candidates
cms_minhash_lsh,wcm8-aq5w.csv,propane_use_kbtu,low,1132,0,0,58326,1.0,1.0,1.0,1.0,51.63125920295715,0.0004115104675292969,0.7,chembl_2000_5,2000,5,1282
cms_minhash_lsh,yr5p-wjer.csv,stadium_closed_gross_floor,low,1132,0,0,58326,1.0,1.0,1.0,1.0,50.07976984977722,0.0004093647003173828,0.7,chembl_2000_5,2000,5,1282
cms_minhash_lsh,nbun-wekj.csv,municipally_supplied_potable_1,low,1134,1,0,58323,0.9999831814053618,0.9991189427312775,1.0,0.999559277214632,50.777177572250366,0.0006177425384521484,0.7,chembl_2000_5,2000,5,1278
cms_minhash_lsh,utpj-74fz.csv,bank_branch_number_of,low,1132,0,0,58326,1.0,1.0,1.0,1.0,50.25407600402832,0.00043511390686035156,0.7,chembl_2000_5,2000,5,1282
cms_minhash_lsh,yr5p-wjer.csv,worship_facility_gross_floor,low,1132,0,0,58326,1.0,1.0,1.0,1.0,50.44656944274902,0.0004334449768066406,0.7,chembl_2000_5,2000,5,1282
cms_minhash_lsh,4tys-3tzj.csv,multifamily_housing_number,low,1132,0,0,58326,1.0,1.0,1.0,1.0,51.42293334007263,0.00041675567626953125,0.7,chembl_2000_5,2000,5,1282
cms_minhash_lsh,utpj-74fz.csv,retail_store_number_of_open,low,1147,1,0,58310,0.9999831814053618,0.9991289198606271,1.0,0.9995642701525055,51.823089838027954,0.0005588531494140625,0.7,chembl_2000_5,2000,5,1294
cms_minhash_lsh,utpj-74fz.csv,percent_of_electricity_that,low,1210,0,0,58248,1.0,1.0,1.0,1.0,79.59456515312195,0.0009226799011230469,0.7,chembl_2000_5,2000,5,2328
cms_minhash_lsh,f33j-ecpr.csv,q21_r1_c2,low,1368,0,0,58090,1.0,1.0,1.0,1.0,81.12677955627441,0.00043511390686035156,0.7,chembl_2000_5,2000,5,2373
cms_minhash_lsh,wa2y-rh4b.csv,noncity_yr1_plan,low,1210,1,0,58247,0.9999831814053618,0.9991742361684558,1.0,0.9995869475423378,79.38521838188171,0.000789642333984375,0.7,chembl_2000_5,2000,5,2397
cms_minhash_lsh,njjd-3gve.csv,q20_r7_c4,low,1210,0,0,58248,1.0,1.0,1.0,1.0,81.31436395645142,0.0003879070281982422,0.7,chembl_2000_5,2000,5,2399
cms_minhash_lsh,m8p6-tp4b.csv,yrb_rng,low,1210,0,0,58248,1.0,1.0,1.0,1.0,81.32565021514893,0.0004374980926513672,0.7,chembl_2000_5,2000,5,2399
cms_minhash_lsh,6e44-8i2s.csv,larceny_or_other_theft_with_weapon_s,low,1210,0,0,58248,1.0,1.0,1.0,1.0,82.03852462768555,0.00048160552978515625,0.7,chembl_2000_5,2000,5,2399
cms_minhash_lsh,njjd-3gve.csv,q21_r4_c2,low,1210,0,0,58248,1.0,1.0,1.0,1.0,81.40630078315735,0.00039768218994140625,0.7,chembl_2000_5,2000,5,2399
cms_minhash_lsh,wcm8-aq5w.csv,percent_of_electricity_that,low,1210,0,0,58248,1.0,1.0,1.0,1.0,81.13768863677979,0.0005426406860351562,0.7,chembl_2000_5,2000,5,2423
